,Tank Farm,Line,Event Type,Event Date Time,Batch,Sup/Con,Tankage,Actual,Total,BPH,SuperBatch
0,ATJ,01,SUPERSTART,9/24/2023 7:12:39 AM,JA1-A-521,,,1776984,1777000,14923,JA1-A-521
1,ATJ,01,BATCHSTART,9/24/2023 7:12:39 AM,BPO-A-521,,,170000,170000,14923,JA1-A-521
2,ATJ,01,BATCHSTOP,9/24/2023 6:36:09 PM,BPO-A-521,,,0,0,0,JA1-A-521
3,ATJ,01,BATCHSTART,9/24/2023 6:36:09 PM,BZA-A-521,,,22500,22500,14923,JA1-A-521
4,ATJ,01,BATCHSTOP,9/24/2023 8:06:37 PM,BZA-A-521,,,0,0,0,JA1-A-521
5,ATJ,01,BATCHSTART,9/24/2023 8:06:37 PM,CHV-A-521,,,11000,11000,14923,JA1-A-521
6,ATJ,01,BATCHSTOP,9/24/2023 8:50:51 PM,CHV-A-521,,,0,0,0,JA1-A-521
7,ATJ,01,BATCHSTART,9/24/2023 8:50:51 PM,CIT-A-521,,,41500,41500,14923,JA1-A-521
8,ATJ,01,BATCHSTOP,9/24/2023 11:37:42 PM,CIT-A-521,,,0,0,0,JA1-A-521
9,ATJ,01,BATCHSTART,9/24/2023 11:37:42 PM,CKS-A-521,,,5000,5000,14923,JA1-A-521
10,ATJ,01,BATCHSTOP,9/24/2023 11:57:48 PM,CKS-A-521,,,0,0,0,JA1-A-521
11,ATJ,01,BATCHSTART,9/24/2023 11:57:48 PM,CNL-A-521,,,7500,7500,14923,JA1-A-521
12,ATJ,01,BATCHSTOP,9/25/2023 12:27:58 AM,CNL-A-521,,,0,0,0,JA1-A-521
13,ATJ,01,BATCHSTART,9/25/2023 12:27:58 AM,CWH-A-521,,,5000,5000,14923,JA1-A-521
14,ATJ,01,BATCHSTOP,9/25/2023 12:48:04 AM,CWH-A-521,,,0,0,0,JA1-A-521
15,ATJ,01,BATCHSTART,9/25/2023 12:48:04 AM,DKS-A-521,,,56500,56500,14923,JA1-A-521
16,ATJ,01,BATCHSTOP,9/25/2023 4:35:14 AM,DKS-A-521,,,0,0,0,JA1-A-521
17,ATJ,01,BATCHSTART,9/25/2023 4:35:14 AM,FHR-A-521,,,15000,15000,14923,JA1-A-521
18,ATJ,01,BATCHSTOP,9/25/2023 5:35:33 AM,FHR-A-521,,,0,0,0,JA1-A-521
19,ATJ,01,BATCHSTART,9/25/2023 5:35:33 AM,GUT-A-521,,,7500,7500,14923,JA1-A-521
20,ATJ,01,BATCHSTOP,9/25/2023 6:05:42 AM,GUT-A-521,,,0,0,0,JA1-A-521
21,ATJ,01,BATCHSTART,9/25/2023 6:05:42 AM,HOM-A-521,,,25500,25500,14923,JA1-A-521
22,ATJ,01,BATCHSTOP,9/25/2023 7:48:13 AM,HOM-A-521,,,0,0,0,JA1-A-521
23,ATJ,01,BATCHSTART,9/25/2023 7:48:13 AM,MAC-A-521,,,265500,265500,14923,JA1-A-521
24,ATJ,01,BATCHSTOP,9/26/2023 1:35:42 AM,MAC-A-521,,,0,0,0,JA1-A-521
25,ATJ,01,BATCHSTART,9/26/2023 1:35:42 AM,MGC-A-521,,,15000,15000,14923,JA1-A-521
26,ATJ,01,BATCHSTOP,9/26/2023 2:36:01 AM,MGC-A-521,,,0,0,0,JA1-A-521
