,Tank Farm,Line,Event Type,Start Date Time,Batch,Sup/Con,Tankage,Actual,Total,BPH,SuperBatch,Stop Date Time,Start,Stop
1,ATJ,01,BATCHSTART,9/24/2023 7:12:39 AM,BPO-A3-521,,,170000,170000,14923,JA1-A3-521,9/24/2023 6:36:09 PM,2023-09-24 07:12:39,2023-09-24 18:36:09
3,ATJ,01,BATCHSTART,9/24/2023 6:36:09 PM,BZA-A3-521,,,22500,22500,14923,JA1-A3-521,9/24/2023 8:06:37 PM,2023-09-24 18:36:09,2023-09-24 20:06:37
5,ATJ,01,BATCHSTART,9/24/2023 8:06:37 PM,CHV-A3-521,,,11000,11000,14923,JA1-A3-521,9/24/2023 8:50:51 PM,2023-09-24 20:06:37,2023-09-24 20:50:51
7,ATJ,01,BATCHSTART,9/24/2023 8:50:51 PM,CIT-A3-521,,,41500,41500,14923,JA1-A3-521,9/24/2023 11:37:42 PM,2023-09-24 20:50:51,2023-09-24 23:37:42
9,ATJ,01,BATCHSTART,9/24/2023 11:37:42 PM,CKS-A3-521,,,5000,5000,14923,JA1-A3-521,9/24/2023 11:57:48 PM,2023-09-24 23:37:42,2023-09-24 23:57:48
11,ATJ,01,BATCHSTART,9/24/2023 11:57:48 PM,CNL-A3-521,,,7500,7500,14923,JA1-A3-521,9/25/2023 12:27:58 AM,2023-09-24 23:57:48,2023-09-25 00:27:58
13,ATJ,01,BATCHSTART,9/25/2023 12:27:58 AM,CWH-A3-521,,,5000,5000,14923,JA1-A3-521,9/25/2023 12:48:04 AM,2023-09-25 00:27:58,2023-09-25 00:48:04
15,ATJ,01,BATCHSTART,9/25/2023 12:48:04 AM,DKS-A3-521,,,56500,56500,14923,JA1-A3-521,9/25/2023 4:35:14 AM,2023-09-25 00:48:04,2023-09-25 04:35:14
17,ATJ,01,BATCHSTART,9/25/2023 4:35:14 AM,FHR-A3-521,,,15000,15000,14923,JA1-A3-521,9/25/2023 5:35:33 AM,2023-09-25 04:35:14,2023-09-25 05:35:33
19,ATJ,01,BATCHSTART,9/25/2023 5:35:33 AM,GUT-A3-521,,,7500,7500,14923,JA1-A3-521,9/25/2023 6:05:42 AM,2023-09-25 05:35:33,2023-09-25 06:05:42
21,ATJ,01,BATCHSTART,9/25/2023 6:05:42 AM,HOM-A3-521,,,25500,25500,14923,JA1-A3-521,9/25/2023 7:48:13 AM,2023-09-25 06:05:42,2023-09-25 07:48:13
23,ATJ,01,BATCHSTART,9/25/2023 7:48:13 AM,MAC-A3-521,,,265500,265500,14923,JA1-A3-521,9/26/2023 1:35:42 AM,2023-09-25 07:48:13,2023-09-26 01:35:42
25,ATJ,01,BATCHSTART,9/26/2023 1:35:42 AM,MGC-A3-521,,,15000,15000,14923,JA1-A3-521,9/26/2023 2:36:01 AM,2023-09-26 01:35:42,2023-09-26 02:36:01
27,ATJ,01,BATCHSTART,9/26/2023 2:36:01 AM,MOB-A3-521,,,85000,85000,14923,JA1-A3-521,9/26/2023 8:17:46 AM,2023-09-26 02:36:01,2023-09-26 08:17:46
29,ATJ,01,BATCHSTART,9/26/2023 8:17:46 AM,MTV-A3-521,,,176000,176000,14923,JA1-A3-521,9/26/2023 8:05:24 PM,2023-09-26 08:17:46,2023-09-26 20:05:24
31,ATJ,01,BATCHSTART,9/26/2023 8:05:24 PM,MUC-A3-522,,,107500,107500,14923,JA1-A3-521,9/27/2023 3:17:37 AM,2023-09-26 20:05:24,2023-09-27 03:17:37
33,ATJ,01,BATCHSTART,9/27/2023 3:17:37 AM,MXE-A3-521,,,7500,7500,14923,JA1-A3-521,9/27/2023 3:47:46 AM,2023-09-27 03:17:37,2023-09-27 03:47:46
35,ATJ,01,BATCHSTART,9/27/2023 3:47:46 AM,MXE-A3-522,,,25000,25000,14923,JA1-A3-521,9/27/2023 5:28:17 AM,2023-09-27 03:47:46,2023-09-27 05:28:17
37,ATJ,01,BATCHSTART,9/27/2023 5:28:17 AM,MXE-A3-526,,,22500,22500,14923,JA1-A3-521,9/27/2023 6:58:45 AM,2023-09-27 05:28:17,2023-09-27 06:58:45
39,ATJ,01,BATCHSTART,9/27/2023 6:58:45 AM,MXE-A3-523,,,20000,20000,14923,JA1-A3-521,9/27/2023 8:19:10 AM,2023-09-27 06:58:45,2023-09-27 08:19:10
41,ATJ,01,BATCHSTART,9/27/2023 8:19:10 AM,PBF-A3-521,,,30000,30000,14923,JA1-A3-521,9/27/2023 10:19:47 AM,2023-09-27 08:19:10,2023-09-27 10:19:47
43,ATJ,01,BATCHSTART,9/27/2023 10:19:47 AM,PHI-A3-521,,,45500,45500,14923,JA1-A3-521,9/27/2023 1:22:43 PM,2023-09-27 10:19:47,2023-09-27 13:22:43
45,ATJ,01,BATCHSTART,9/27/2023 1:22:43 PM,QTC-A3-521,,,190000,190000,14923,JA1-A3-521,9/28/2023 2:06:39 AM,2023-09-27 13:22:43,2023-09-28 02:06:39
47,ATJ,01,BATCHSTART,9/28/2023 2:06:39 AM,RKO-A3-521,,,35000,35000,14923,JA1-A3-521,9/28/2023 4:27:22 AM,2023-09-28 02:06:39,2023-09-28 04:27:22
49,ATJ,01,BATCHSTART,9/28/2023 4:27:22 AM,SUN-A3-521,,,23000,23000,14923,JA1-A3-521,9/28/2023 5:59:51 AM,2023-09-28 04:27:22,2023-09-28 05:59:51
51,ATJ,01,BATCHSTART,9/28/2023 5:59:51 AM,TAR-A3-521,,,95000,95000,14923,JA1-A3-521,9/28/2023 12:21:48 PM,2023-09-28 05:59:51,2023-09-28 12:21:48
53,ATJ,01,BATCHSTART,9/28/2023 12:21:48 PM,TOP-A3-521,,,18500,18500,14923,JA1-A3-521,9/28/2023 1:36:11 PM,2023-09-28 12:21:48,2023-09-28 13:36:11
55,ATJ,01,BATCHSTART,9/28/2023 1:36:11 PM,TRA-A3-521,,,10000,10000,14923,JA1-A3-521,9/28/2023 2:16:24 PM,2023-09-28 13:36:11,2023-09-28 14:16:24
57,ATJ,01,BATCHSTART,9/28/2023 2:16:24 PM,VAL-A3-52D,,,4000,4000,14923,JA1-A3-521,9/28/2023 2:32:28 PM,2023-09-28 14:16:24,2023-09-28 14:32:28
59,ATJ,01,BATCHSTART,9/28/2023 2:32:28 PM,VAL-A3-52E,,,66000,66000,14923,JA1-A3-521,9/28/2023 6:57:50 PM,2023-09-28 14:32:28,2023-09-28 18:57:50
61,ATJ,01,BATCHSTART,9/28/2023 6:57:50 PM,CIT-A3-522,,,25000,25000,14923,JA1-A3-521,9/28/2023 8:38:21 PM,2023-09-28 18:57:50,2023-09-28 20:38:21
63,ATJ,01,BATCHSTART,9/28/2023 8:38:21 PM,SHT-A3-52B,,,143984,144000,14923,JA1-A3-521,9/29/2023 6:17:16 AM,2023-09-28 20:38:21,2023-09-29 06:17:16
67,ATJ,01,BATCHSTART,10/1/2023 12:26:16 AM,TAR-M3-521,,,17500,17500,8500,JA1-M3-521,10/1/2023 2:29:48 AM,2023-10-01 00:26:16,2023-10-01 02:29:48
71,ATJ,01,BATCHSTART,10/1/2023 10:51:20 AM,CIT-D3-521,,,6500,6500,20784,JA1-D3-521,10/1/2023 11:10:06 AM,2023-10-01 10:51:20,2023-10-01 11:10:06
