Tank,Type,Out of Service,Bottom,Working,Maximum,Product,LineOut,LineIn
310,Gasoline,Yes,83.0,168.0,171.0,A,"['13', '14', '15', '17', '18', '19', '1A']",[1]
311,Gasoline,No,84.0,192.0,194.0,A,"['13', '14', '15', '17', '18', '19', '1A']",[1]
312,Gasoline,No,84.0,201.0,203.0,D,"['13', '14', '15', '17', '18', '19', '1A']",[1]
313,Gasoline,No,85.0,219.0,222.0,A,"['13', '14', '15', '17', '18', '19', '1A']",[1]
314,Gasoline,No,84.0,191.0,193.0,A,"['13', '14', '15', '17', '18', '19', '1A']",[1]
315,Gasoline,No,83.0,167.0,170.0,A,"['13', '14', '15', '17', '18', '19', '1A']",[1]
316,Gasoline,No,84.0,167.0,169.0,A,"['13', '14', '15', '17', '18', '19', '1A']",[1]
317,Gasoline,No,86.0,220.0,223.0,D,"['13', '14', '15', '17', '18', '19', '1A']",[1]
330,Gasoline,No,85.0,200.0,203.0,A,"['13', '14', '15', '17', '18', '19', '1A']",[1]
332,Gasoline,No,82.0,189.0,191.0,A,"['13', '14', '15', '17', '18', '19', '1A']",[1]
334,Gasoline,No,86.0,237.0,240.0,A,"['13', '14', '15', '17', '18', '19', '1A']",[1]
335,Gasoline,No,84.0,203.0,206.0,A,"['13', '14', '15', '17', '18', '19', '1A']",[1]
336,Gasoline,No,84.0,191.0,194.0,A,"['13', '14', '15', '17', '18', '19', '1A']",[1]
337,Gasoline,No,84.0,167.0,169.0,A,"['13', '14', '15', '17', '18', '19', '1A']",[1]
338,Gasoline,No,86.0,236.0,247.0,A,"['13', '14', '15', '17', '18', '19', '1A']",[1]
339,Gasoline,No,86.0,245.0,253.0,A,"['13', '14', '15', '17', '18', '19', '1A']",[1]
350,Kerosene,No,81.0,105.0,106.0,54,"['13', '14', '16', '17', '18', '19', '20', '2A']",[2]
352,Kerosene,No,85.0,165.0,168.0,54,"['13', '14', '16', '17', '18', '19', '20', '2A']",[2]
353,Kerosene,No,85.0,195.0,198.0,54,"['13', '16', '20']",[2]
354,Kerosene,No,94.0,197.0,199.0,54,"['16', '18', '20']",[2]
360,Oil,No,81.0,141.0,143.0,62,"['13', '14', '17', '18', '19', '20', '2A']",[2]
361,Oil,No,81.0,194.0,197.0,62,"['13', '14', '17', '18', '19', '20', '2A']",[2]
363,Kerosene,No,81.0,117.0,119.0,54,"['13', '14', '17', '18', '19', '20', '2A']",[2]
370,Kerosene,No,81.0,128.0,130.0,54,"['13', '14', '17', '18', '19', '20', '2A']",[2]
372,Transmix,No,81.0,135.0,142.0,62,"['13', '14', '17', '18', '19', '20', '2A']",[2]
373,Oil,No,81.0,247.0,249.0,62,"['13', '14', '17', '18', '19', '20', '2A']",[2]
374,Oil,Yes,81.0,247.0,249.0,62,"['13', '14', '17', '18', '19', '20', '2A']",[2]
375,Oil,No,91.0,174.0,176.0,62,"['13', '14', '17', '18', '19', '20', '2A']",[2]
376,Oil,No,93.0,194.0,196.0,62,"['13', '14', '17', '18', '19', '20', '2A']",[2]
