"Tank Farm","Line","Event Type","Event Date Time","Batch","Sup/Con","Tankage","Actual","Total","BPH"
"ATJ","01","SUPERSTART","9/6/2023 12:00:00 AM","JA1-A2-481","","","330200","1448500","19500"
"ATJ","01","BATCHSTART","9/6/2023 12:00:00 AM","MAC-A2-485","","","14200","25000","19500"
"ATJ","01","BATCHSTOP","9/6/2023 12:43:41 AM","MAC-A2-485","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 12:43:41 AM","MOB-A2-48D","","","12500","12500","19500"
"ATJ","01","BATCHSTOP","9/6/2023 1:22:09 AM","MOB-A2-48D","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 1:22:09 AM","MAC-A2-487","","","25000","25000","19500"
"ATJ","01","BATCHSTOP","9/6/2023 2:39:04 AM","MAC-A2-487","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 2:39:04 AM","MAC-A2-486","","","50000","50000","19500"
"ATJ","01","BATCHSTOP","9/6/2023 5:12:55 AM","MAC-A2-486","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 5:12:55 AM","MOB-A2-482","","","8500","8500","19500"
"ATJ","01","BATCHSTOP","9/6/2023 5:39:04 AM","MOB-A2-482","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 5:39:04 AM","TRA-A2-484","","","12500","12500","19500"
"ATJ","01","BATCHSTOP","9/6/2023 6:17:32 AM","TRA-A2-484","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 6:17:32 AM","TRA-A2-481","","","10000","10000","19500"
"ATJ","01","BATCHSTOP","9/6/2023 6:48:18 AM","TRA-A2-481","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 6:48:18 AM","VAL-A2-48C","","","3800","11500","19500"
"ATJ","01","RATECHANGE","9/6/2023 7:00:00 AM","VAL-A2-48C","","","7700","11500","20425"
"ATJ","01","BATCHSTOP","9/6/2023 7:22:37 AM","VAL-A2-48C","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 7:22:37 AM","CC1-A2-482","","","25000","25000","20425"
"ATJ","01","BATCHSTOP","9/6/2023 8:36:03 AM","CC1-A2-482","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 8:36:03 AM","PHI-A2-483","","","10000","10000","20425"
"ATJ","01","BATCHSTOP","9/6/2023 9:05:26 AM","PHI-A2-483","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 9:05:26 AM","CC1-A2-481","","","5000","5000","20425"
"ATJ","01","BATCHSTOP","9/6/2023 9:20:07 AM","CC1-A2-481","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 9:20:07 AM","DKS-A2-482","","","22500","22500","20425"
"ATJ","01","BATCHSTOP","9/6/2023 10:26:13 AM","DKS-A2-482","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 10:26:13 AM","GEW-A2-483","","","25000","25000","20425"
"ATJ","01","BATCHSTOP","9/6/2023 11:39:39 AM","GEW-A2-483","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 11:39:39 AM","GUN-A2-481","","","15000","15000","20425"
"ATJ","01","BATCHSTOP","9/6/2023 12:23:43 PM","GUN-A2-481","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 12:23:43 PM","GUN-A2-482","","","20000","20000","20425"
"ATJ","01","BATCHSTOP","9/6/2023 1:22:28 PM","GUN-A2-482","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 1:22:28 PM","TAR-A2-485","","","5000","5000","20425"
"ATJ","01","BATCHSTOP","9/6/2023 1:37:09 PM","TAR-A2-485","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 1:37:09 PM","DKS-A2-485","","","37500","37500","20425"
"ATJ","01","BATCHSTOP","9/6/2023 3:27:19 PM","DKS-A2-485","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 3:27:19 PM","SUN-A2-482","","","11000","11000","20425"
"ATJ","01","BATCHSTOP","9/6/2023 3:59:38 PM","SUN-A2-482","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 3:59:38 PM","CPC-A2-481","","","10000","25000","20425"
"ATJ","01","BATCHSTOP","9/6/2023 4:29:00 PM","CPC-A2-481","","","0","0","0"
"ATJ","01","SUPERSTOP","9/6/2023 4:29:00 PM","JA1-A2-481","","","0","0","0"
"ATJ","01","SUPERSTART","9/6/2023 7:47:00 PM","JA1-D2-481","","","191000","191000","19457"
"ATJ","01","BATCHSTART","9/6/2023 7:47:00 PM","PHI-D2-481","","","5000","5000","19457"
"ATJ","01","BATCHSTOP","9/6/2023 8:02:25 PM","PHI-D2-481","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 8:02:25 PM","BPO-D2-481","","","21000","21000","19457"
"ATJ","01","BATCHSTOP","9/6/2023 9:07:10 PM","BPO-D2-481","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 9:07:10 PM","CIT-D2-481","","","9000","9000","19457"
"ATJ","01","BATCHSTOP","9/6/2023 9:34:55 PM","CIT-D2-481","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 9:34:55 PM","MAC-D2-481","","","28000","28000","19457"
"ATJ","01","BATCHSTOP","9/6/2023 11:01:16 PM","MAC-D2-481","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 11:01:16 PM","MOB-D2-481","","","11000","11000","19457"
"ATJ","01","BATCHSTOP","9/6/2023 11:35:11 PM","MOB-D2-481","","","0","0","0"
"ATJ","01","BATCHSTART","9/6/2023 11:35:11 PM","MTV-D2-481","","","21000","21000","19457"
"ATJ","01","BATCHSTOP","9/7/2023 12:39:57 AM","MTV-D2-481","","","0","0","0"
"ATJ","01","BATCHSTART","9/7/2023 12:39:57 AM","MXE-D2-481","","","22500","22500","19457"
"ATJ","01","BATCHSTOP","9/7/2023 1:49:20 AM","MXE-D2-481","","","0","0","0"
"ATJ","01","BATCHSTART","9/7/2023 1:49:20 AM","VAL-D2-48D","","","10000","10000","19457"
"ATJ","01","BATCHSTOP","9/7/2023 2:20:10 AM","VAL-D2-48D","","","0","0","0"
"ATJ","01","BATCHSTART","9/7/2023 2:20:10 AM","MXE-D2-482","","","2500","2500","19457"
"ATJ","01","BATCHSTOP","9/7/2023 2:27:53 AM","MXE-D2-482","","","0","0","0"
"ATJ","01","BATCHSTART","9/7/2023 2:27:53 AM","SHT-D2-48B","","","20500","20500","19457"
"ATJ","01","BATCHSTOP","9/7/2023 3:31:06 AM","SHT-D2-48B","","","0","0","0"
