Tank Farm,Line,Event Type,Event Date Time,Batch,Sup/Con,Tankage,Actual,Total,BPH
ATJ,01,SUPERSTART,9/24/2023 7:12:39 AM,JA1-A3-521,,,1776984,1777000,14923
ATJ,01,BATCHSTART,9/24/2023 7:12:39 AM,BPO-A3-521,,,170000,170000,14923
ATJ,01,BATCHSTOP,9/24/2023 6:36:09 PM,BPO-A3-521,,,0,0,0
ATJ,01,BATCHSTART,9/24/2023 6:36:09 PM,BZA-A3-521,,,22500,22500,14923
ATJ,01,BATCHSTOP,9/24/2023 8:06:37 PM,BZA-A3-521,,,0,0,0
ATJ,01,BATCHSTART,9/24/2023 8:06:37 PM,CHV-A3-521,,,11000,11000,14923
ATJ,01,BATCHSTOP,9/24/2023 8:50:51 PM,CHV-A3-521,,,0,0,0
ATJ,01,BATCHSTART,9/24/2023 8:50:51 PM,CIT-A3-521,,,41500,41500,14923
ATJ,01,BATCHSTOP,9/24/2023 11:37:42 PM,CIT-A3-521,,,0,0,0
ATJ,01,BATCHSTART,9/24/2023 11:37:42 PM,CKS-A3-521,,,5000,5000,14923
ATJ,01,BATCHSTOP,9/24/2023 11:57:48 PM,CKS-A3-521,,,0,0,0
ATJ,01,BATCHSTART,9/24/2023 11:57:48 PM,CNL-A3-521,,,7500,7500,14923
ATJ,01,BATCHSTOP,9/25/2023 12:27:58 AM,CNL-A3-521,,,0,0,0
ATJ,01,BATCHSTART,9/25/2023 12:27:58 AM,CWH-A3-521,,,5000,5000,14923
ATJ,01,BATCHSTOP,9/25/2023 12:48:04 AM,CWH-A3-521,,,0,0,0
ATJ,01,BATCHSTART,9/25/2023 12:48:04 AM,DKS-A3-521,,,56500,56500,14923
ATJ,01,BATCHSTOP,9/25/2023 4:35:14 AM,DKS-A3-521,,,0,0,0
ATJ,01,BATCHSTART,9/25/2023 4:35:14 AM,FHR-A3-521,,,15000,15000,14923
ATJ,01,BATCHSTOP,9/25/2023 5:35:33 AM,FHR-A3-521,,,0,0,0
ATJ,01,BATCHSTART,9/25/2023 5:35:33 AM,GUT-A3-521,,,7500,7500,14923
