Line,Product,Tank,Volume_x,Volume_y,Volume_x,Volume_y,Volume_x,Volume_y,Volume_x,Volume_y
01,A,311,107906.0,,122600.0,,,,,
01,A,313,,134613.0,207255.0,116715.0,,,,
01,A,314,,108011.0,107634.0,99924.0,,,,
01,A,317,295889.0,192213.00000000003,248766.0,307557.0,,,,
01,A,330,176260.0,335747.0,280193.99999999994,256072.0,,,,
01,A,331,178437.0,259915.00000000003,75438.0,118387.0,,,83999.99999999977,
01,A,332,104922.0,104486.0,,105009.0,,,,
01,A,333,212731.0,100274.0,,115397.0,,,,
01,A,334,152644.0,,,173005.0,,,,
01,A,336,109963.0,107641.0,,,,,,
01,A,338,79248.0,148615.0,149183.0,,,,,1300000.0
01,A,339,,157985.0,152430.0,,1418500.0000000002,1649999.999997314,1273699.9999999998,
01,D,312,81876.0,101201.0,111500.0,130857.0,,,,
01,D,316,83725.0,58185.0,47989.00000000001,59143.0,25000.0,75000.0,101000.0,190000.0000000061
01,D,337,46554.0,30114.0,81511.0,,204999.99999999997,128000.0,140000.0,
02,54,350,21099.0,21088.0,21080.0,21060.0,,,,
02,54,351,32679.000000000004,32293.999999999996,32293.999999999996,32674.999999999996,,,,42000.0
02,54,352,79049.0,80064.0,29560.0,80064.0,228000.0,249150.00000001222,220350.0,283400.0000000001
02,54,353,108547.0,60000.0,34851.0,108558.0,,80000.0,50000.0,
02,54,354,82626.0,83653.0,103874.0,54143.0,114000.0,,,
02,54,370,,47901.0,47341.0,,,,,
02,62,360,54168.0,59643.0,59643.0,59643.0,,,,
02,62,361,113374.0,112723.0,226384.0,87116.0,,,119999.9999999987,
02,62,363,,,,,,,79999.99979196957,
02,62,371,135388.0,264432.0,272366.0,113263.0,,665000.0,,
02,62,373,62057.0,144585.0,255573.0,271978.0,365000.0,,,
02,62,374,,197464.0,103533.99999999999,,,,225999.9954237045,552000.0
02,62,375,,,,,,113999.99999999916,,
02,62,376,,,,,,,492000.00020812836,
13,54,352,,,,,10000.0,26000.0,,
13,54,353,6000.0,,,,,4000.0,,
13,54,370,,29000.0,,,,,,
13,62,360,,59643.0,59643.0,,,,,
13,62,361,,,,,,,,
13,62,371,,,,,,120000.0,,
13,62,373,,22998.0,,137000.0,66000.0,,,
