,Week 1,,Week 2,,Week 3,,Week 4,,,Week 1,,Week 2,,Week 3,,Week 4,
Tank,In,Out,In,Out,In,Out,In,Out,,In,Out,In,Out,In,Out,In,Out
,,,,,,,,,,,,,,,,,
310,,82.919,,,,,,,,,,,,,,,
311,107.906,108.115,,,122.6,101.581,,107.7,,,,,,,,,
312,81.876,116.651,101.201,96.5,111.5,63,130.857,113.357,,,,,,,,,
313,,,134.613,,207.255,135.885,116.715,,,,,,,,,,
314,,,108.011,15.5,107.634,107.634,99.924,102.308,,,,,,,,,
316,83.725,5.349,58.185,78.5,47.989,72.5,59.143,1.143,,25,,75,48.9,101,59,190,167
317,295.889,330.842,192.213,147.5,248.766,294.601,307.557,295.382,,,,,,,,,
330,176.26,176.26,335.747,183.611,280.194,78.224,256.072,149.348,,,,,,,,,
331,178.437,134.088,259.915,459.305,75.438,105.9,118.387,15.56,,,,,,84,,,
332,104.922,97.422,104.486,104.486,,,105.009,104.486,,,,,,,,,
333,212.731,197.466,100.274,194.237,,,115.397,60.606,,,,,,,,,
334,152.644,,,104.362,,104.399,173.005,172.862,,,,,,,,,
336,109.963,109.963,107.641,107.523,,,,166.238,,,,,,,,,
337,46.554,64.5,30.114,,81.511,60.5,,32.5,,205,217,128,133.6,140,161.3,,
338,79.248,79.248,148.615,148.615,149.183,148.615,,,,,,,,,,1300,1212.2
339,,,157.985,155.862,152.43,157.521,,,,1418.5,1362,1650,1654.8,1273.7,1266,,
350,21.099,21.099,21.088,,21.08,13.597,21.06,25.584,,,,,,,,,
351,32.679,32.679,32.294,31.107,32.294,32.294,32.675,32.294,,,,,,,,42,15.75
352,79.049,72.746,80.064,80.064,29.56,80.064,80.064,80.064,,228,198.3,249.15,283.3,220.4,200,283.4,305.05
353,108.547,6,60,103.548,34.851,16.872,108.558,108.558,,,,80,21.2,50,106,,
354,82.626,46.5,83.653,36.094,103.874,103.874,54.143,53,,114,,,,,,,
360,54.168,59.031,59.643,101.813,59.643,72.788,59.643,59.643,,,,,,,,,
361,113.374,29.281,112.723,,226.384,113.192,87.116,113.192,,,,,,120,,,
363,,,,,,,,,,,,,,80,35,,
370,,,47.901,47.906,47.341,37.5,,,,,,,,,,,
371,135.388,36.04,264.432,105.927,272.366,110.663,113.263,168.591,,,,665,574.45,,,,
373,62.057,,144.585,165.346,255.573,135.612,271.978,237.691,,365,225.4,,,,,,
374,,57.64,197.464,168.116,103.534,42.857,,118.711,,,,,,226,118,552,718.5
375,,,,,,,,,,,,114,,,,,
376,,,,,,,,,,,,,,492,369,,
,,,,,,,,,,,,,,,,,
,21,21,24,21,22,23,19,22,,6,4,7,6,10,8,5,5
