,Tank,Line,Product,Time,Volume
0,316,01,D,118,25.0
1,337,01,D,112,27.0
2,337,01,D,113,25.0
3,337,01,D,114,28.0
4,337,01,D,115,25.0
5,337,01,D,116,25.0
6,337,01,D,117,25.0
7,337,01,D,119,25.0
8,337,01,D,120,24.999999999999964
9,339,01,A,1,25.0
10,339,01,A,2,25.0
11,339,01,A,3,25.0
12,339,01,A,4,25.0
13,339,01,A,5,25.0
14,339,01,A,6,25.0
15,339,01,A,7,25.0
16,339,01,A,8,25.0
17,339,01,A,9,25.0
18,339,01,A,10,28.0
19,339,01,A,11,28.0
20,339,01,A,12,25.0
21,339,01,A,13,25.0
22,339,01,A,14,25.0
23,339,01,A,15,25.0
24,339,01,A,16,25.0
25,339,01,A,17,25.0
26,339,01,A,18,25.0
27,339,01,A,19,26.500000000000306
28,339,01,A,20,25.0
29,339,01,A,21,25.0
30,339,01,A,22,25.0
31,339,01,A,23,25.0
32,339,01,A,24,25.0
33,339,01,A,25,25.0
34,339,01,A,26,25.0
35,339,01,A,27,25.0
36,339,01,A,28,25.0
37,339,01,A,29,25.0
38,339,01,A,30,25.0
39,339,01,A,31,25.0
40,339,01,A,32,25.0
41,339,01,A,33,25.0
42,339,01,A,34,25.0
43,339,01,A,35,25.0
44,339,01,A,36,25.0
45,339,01,A,37,25.0
46,339,01,A,38,25.0
47,339,01,A,39,25.0
48,339,01,A,40,28.0
49,339,01,A,41,25.0
50,339,01,A,42,28.0
51,339,01,A,43,28.0
52,339,01,A,44,28.0
53,339,01,A,45,28.0
54,339,01,A,46,28.0
55,339,01,A,47,28.0
56,339,01,A,48,28.0
57,339,01,A,49,28.0
58,339,01,A,50,25.0
59,339,01,A,51,28.0
60,339,01,A,52,28.0
61,339,01,A,53,28.0
62,339,01,A,54,24.999999999999968
63,339,01,A,55,24.999999999999943
64,352,02,54,5,6.0
65,352,02,54,6,6.0
66,352,02,54,7,6.0
67,352,02,54,8,6.0
68,352,02,54,9,6.0
69,352,02,54,10,6.0
70,352,02,54,11,6.0
71,352,02,54,12,6.0
72,352,02,54,13,6.0
73,352,02,54,14,6.0
74,352,02,54,15,6.0
75,352,02,54,16,6.0
76,352,02,54,17,6.0
77,352,02,54,18,6.0
78,352,02,54,19,6.0
79,352,02,54,20,6.0
80,352,02,54,21,6.0
81,352,02,54,41,6.0
82,352,02,54,42,6.0
83,352,02,54,43,6.0
84,352,02,54,44,6.0
85,352,02,54,45,6.0
86,352,02,54,46,6.0
87,352,02,54,47,6.0
88,352,02,54,48,6.0
89,352,02,54,49,6.0
90,352,02,54,50,6.0
91,352,02,54,51,6.0
92,352,02,54,52,6.0
93,352,02,54,53,6.0
94,352,02,54,54,6.0
95,352,02,54,55,6.0
96,352,02,54,56,6.0
97,352,02,54,57,6.0
98,352,02,54,58,6.0
99,352,02,54,59,6.0
100,352,02,54,60,6.0
101,352,02,54,61,6.0
102,354,02,54,22,6.0
103,354,02,54,23,6.0
104,354,02,54,24,6.0
105,354,02,54,25,6.0
106,354,02,54,26,6.0
107,354,02,54,27,6.0
108,354,02,54,28,6.0
109,354,02,54,29,6.0
110,354,02,54,30,6.0
111,354,02,54,31,6.0
112,354,02,54,32,6.0
113,354,02,54,33,6.0
114,354,02,54,34,6.0
115,354,02,54,35,6.0
116,354,02,54,36,6.0
117,354,02,54,37,6.0
118,354,02,54,38,6.0
119,354,02,54,39,6.0
120,354,02,54,40,6.0
121,373,02,62,94,10.0
122,373,02,62,95,10.0
123,373,02,62,96,10.0
124,373,02,62,97,7.0
125,373,02,62,98,6.0
126,373,02,62,99,6.0
127,373,02,62,100,6.0
128,373,02,62,101,10.0
129,373,02,62,102,10.0
130,373,02,62,103,10.0
131,373,02,62,104,10.0
132,373,02,62,105,10.0
133,373,02,62,106,10.0
134,373,02,62,107,10.0
135,373,02,62,108,10.0
136,373,02,62,109,10.0
137,373,02,62,110,10.0
138,373,02,62,111,10.0
139,373,02,62,112,10.0
140,373,02,62,113,10.0
141,373,02,62,114,10.0
142,373,02,62,115,10.0
143,373,02,62,116,10.0
144,373,02,62,117,10.0
145,373,02,62,118,10.0
146,373,02,62,119,10.0
147,373,02,62,120,10.0
148,373,02,62,121,10.0
149,373,02,62,122,10.0
150,373,02,62,123,10.0
151,373,02,62,124,10.0
152,373,02,62,125,10.0
153,373,02,62,126,10.0
154,373,02,62,127,10.0
155,373,02,62,128,10.0
156,373,02,62,129,10.0
157,373,02,62,130,10.0
158,373,02,62,131,10.0
