,Tank,Line,Product,Flag2,Time_min,Time_max,Volume,Start_Date_Time,Finish_Date_Time,Volume_Exists
0,316,01,D,1,118,118,25.0,2022-09-26 22:00:00,2022-09-26 23:00:00,4
1,337,01,D,2,112,117,155.0,2022-09-26 16:00:00,2022-09-26 22:00:00,46
2,337,01,D,3,119,120,49.999999999999964,2022-09-26 23:00:00,2022-09-27 01:00:00,46
3,337,15,D,9,112,131,89.0,2022-09-26 16:00:00,2022-09-27 12:00:00,46
4,337,18,D,10,109,113,43.00000000000001,2022-09-26 13:00:00,2022-09-26 18:00:00,46
5,337,19,D,11,108,120,65.99999999999999,2022-09-26 12:00:00,2022-09-27 01:00:00,46
6,337,1A,D,12,125,130,19.0,2022-09-27 05:00:00,2022-09-27 11:00:00,46
7,339,01,A,4,1,55,1418.5000000000002,2022-09-22 01:00:00,2022-09-24 08:00:00,0
8,339,14,A,13,1,64,150.0,2022-09-22 01:00:00,2022-09-24 17:00:00,0
9,339,15,A,14,2,42,204.0,2022-09-22 02:00:00,2022-09-23 19:00:00,0
10,339,17,A,15,10,46,166.0,2022-09-22 10:00:00,2022-09-23 23:00:00,0
11,339,18,A,16,4,50,391.0000000000002,2022-09-22 04:00:00,2022-09-24 03:00:00,0
12,339,19,A,17,1,77,388.99999999999955,2022-09-22 01:00:00,2022-09-25 06:00:00,0
13,339,1A,A,18,13,42,62.0,2022-09-22 13:00:00,2022-09-23 19:00:00,0
14,352,02,54,5,5,21,102.0,2022-09-22 05:00:00,2022-09-22 22:00:00,6
15,352,02,54,6,41,61,126.0,2022-09-23 17:00:00,2022-09-24 14:00:00,6
16,352,13,54,19,2,6,10.0,2022-09-22 02:00:00,2022-09-22 07:00:00,6
17,352,16,54,20,5,65,130.54999999999998,2022-09-22 05:00:00,2022-09-24 18:00:00,6
18,352,18,54,21,116,117,14.0,2022-09-26 20:00:00,2022-09-26 22:00:00,6
19,352,20,54,22,40,64,43.75,2022-09-23 16:00:00,2022-09-24 17:00:00,6
20,354,02,54,7,22,40,114.0,2022-09-22 22:00:00,2022-09-23 17:00:00,14
21,373,02,62,8,94,131,365.0,2022-09-25 22:00:00,2022-09-27 12:00:00,10
22,373,13,62,23,94,126,66.0,2022-09-25 22:00:00,2022-09-27 07:00:00,10
23,373,14,62,24,119,131,26.4,2022-09-26 23:00:00,2022-09-27 12:00:00,10
24,373,18,62,25,120,129,70.0,2022-09-27 00:00:00,2022-09-27 10:00:00,10
25,373,20,62,26,105,131,40.0,2022-09-26 09:00:00,2022-09-27 12:00:00,10
26,373,2A,62,27,127,131,23.0,2022-09-27 07:00:00,2022-09-27 12:00:00,10
