,Line,Product,Time_min,Time_max,Order,Time_min_1,Time_max_1,Time_min_f,Time_max_f
0,01,A,0,109,2.0,0.0,112.0,0,110
1,01,D,112,129,1.0,109.0,129.0,111,131
2,02,54,0,68,2.0,0.0,70.0,0,68
3,02,62,70,131,1.0,68.0,131.0,69,131
4,13,54,1,15,2.0,1.0,20.0,1,17
5,13,62,20,129,1.0,15.0,129.0,18,131
7,14,A,1,118,2.0,1.0,119.0,1,118
6,14,62,119,129,1.0,118.0,129.0,119,131
8,15,A,0,101,2.0,0.0,108.0,0,104
9,15,D,108,131,1.0,101.0,131.0,105,131
10,16,54,1,126,1.0,1.0,126.0,1,131
11,17,A,0,123,1.0,0.0,123.0,0,131
14,18,A,0,50,4.0,0.0,52.0,0,50
15,18,D,52,113,3.0,50.0,114.0,51,113
12,18,54,114,117,2.0,113.0,118.0,114,117
13,18,62,118,131,1.0,117.0,131.0,118,131
16,19,A,0,104,2.0,0.0,105.0,0,104
17,19,D,105,131,1.0,104.0,131.0,105,131
18,1A,A,11,124,2.0,11.0,125.0,11,124
19,1A,D,125,129,1.0,124.0,129.0,125,131
20,20,54,1,103,2.0,1.0,106.0,1,104
21,20,62,106,130,1.0,103.0,130.0,105,131
22,2A,62,0,121,1.0,0.0,121.0,0,131
