Line,Product,Tank,Volume_x,Volume_y,Volume_x,Volume_y,Volume_x,Volume_y,Volume_x,Volume_y
01,A,310,,,,,270100.0,475000.0,280000.0,299200.0000000317
01,A,311,107906.0,,122600.0,,,100000.0,125000.0,162000.0
01,A,313,,134613.0,207255.0,116715.0,,150000.0,,112000.0
01,A,314,,108011.0,107634.0,99924.0,111999.99999999611,,,
01,A,317,295889.0,192213.00000000003,248766.0,307557.0,212000.0,,,137000.0
01,A,330,176260.0,335747.0,280193.99999999994,256072.0,393000.0000000001,,,
01,A,331,178437.0,259915.00000000003,75438.0,118387.0,,,,
01,A,332,104922.0,104486.0,,105009.0,109000.0,128500.0,,126000.0
01,A,333,212731.0,100274.0,,115397.0,,130000.0,,316799.99999999994
01,A,334,152644.0,,,173005.0,,,250000.0,
01,A,336,109963.0,107641.0,,,,,,
01,A,338,79248.0,148615.0,149183.0,,221000.0,383000.0,78000.0,
01,A,339,,157985.0,152430.0,,104999.9999999998,303000.0,628000.0,140000.0
01,D,312,81876.0,101201.0,111500.0,130857.0,175000.0,190000.0,250000.0,193000.0
01,D,316,83725.0,58185.0,47989.00000000001,59143.0,,,,
01,D,337,46554.0,30114.0,81511.0,,50000.0,,,
02,54,350,21099.0,21088.0,21080.0,21060.0,,,,
02,54,351,32679.000000000004,32293.999999999996,32293.999999999996,32674.999999999996,49600.0,,,
02,54,352,79049.0,80064.0,29560.0,80064.0,124000.0,150000.0,90450.00000000023,260550.0
02,54,353,108547.0,60000.0,34851.0,108558.0,153299.99999999523,,132500.0,66450.00000000297
02,54,354,82626.0,83653.0,103874.0,54143.0,,175000.00000000256,50000.0,
02,54,370,,47901.0,47341.0,,,,,
02,62,360,54168.0,59643.0,59643.0,59643.0,,,323300.00000007096,
02,62,361,113374.0,112723.0,226384.0,87116.0,,120000.00000000001,,120000.0
02,62,363,,,,,,,147900.0,
02,62,371,135388.0,264432.0,272366.0,113263.0,82000.0,133199.99999999985,216800.0,186000.0
02,62,373,62057.0,144585.0,255573.0,271978.0,,,190000.0000000021,130000.0
02,62,374,,197464.0,103533.99999999999,,301799.9999999976,,,
02,62,375,,,,,,345800.0000000002,,
02,62,376,,,,,,180000.0,40000.0,114000.0
13,54,352,,,,,8000.0,34000.0,,
13,54,353,6000.0,,,,8000.0,,,
13,54,370,,29000.0,,,,,,
13,62,360,,59643.0,59643.0,,,,,
13,62,361,,,,,,8000.0,,62000.0
13,62,371,,,,,,32000.0,112000.0,
13,62,373,,22998.0,,137000.0,,,,58000.0
13,62,374,57640.0,33359.0,42857.0,,60000.0,,,
13,62,375,,,,,,48000.0,,
13,62,376,,,,,,38000.0,,26000.0
14,62,360,,,,,,,,
14,62,363,,,,,,,50000.0,
14,62,371,23540.0,,,,,,23600.0,
14,62,373,,,67500.0,55500.0,,,,66000.0
14,62,374,,49500.0,,,30800.0,,,
14,62,375,,,,,,2400.0,,
14,62,376,,,,,,48000.0,,
14,A,310,,,,,,96000.0,,
14,A,311,,,22100.0,,,,76800.0,
14,A,313,,,,,,,,78000.0
14,A,314,,5000.0,,,,,,
14,A,317,133949.0,122500.0,5000.0,,131999.99999999988,,,
14,A,330,,,,5000.0,2400.0,,,
14,A,331,,,105900.0,,,,,
14,A,332,,,,,12000.0,33600.0,,
14,A,333,,,,,,,,21600.0
14,A,334,,,,87600.0,,,,
14,A,336,10051.0,,,,,,,
14,A,338,,,,,,,52200.000000000015,
14,A,339,,,,,,,4000.0,
14,D,312,,29500.0,,27357.0,,30800.0,32999.99999999997,35200.0
14,D,316,,,,1143.0,,,,
14,D,337,,,32500.0,,,,,
15,A,310,,,,,,,,22000.0
15,A,311,,,41981.0,,,,,77000.0
15,A,313,,,127885.0,,,4000.0,,32000.0
15,A,314,,,107634.0,,,,,
15,A,317,134893.0,,,,,,,
15,A,330,60607.0,,,139348.0,,,,
15,A,331,,289500.0,,15560.0,,,,
15,A,332,,,,104486.0,,,,
15,A,333,,,,55606.0,,129000.0,,194000.0
15,A,336,,,,,,,,
15,A,338,,,,,196000.0,157000.0,,
15,A,339,,,,,,,280000.0,
15,D,312,79000.0,,63000.0,42500.0,,89000.0,63000.0,53000.0
15,D,316,,78500.0,,,,,,
15,D,337,,,,,79000.0,,,
16,54,350,21099.0,,13597.0,25583.999999999996,,,,
16,54,351,32679.000000000004,31107.0,32293.999999999996,32293.999999999996,8600.0,,,
16,54,352,72746.0,80064.0,60064.0,80064.0,,36550.0,111100.0,248850.0
16,54,353,,103548.0,16872.0,108558.0,128399.99999999984,,121149.99999999997,
16,54,354,,,103874.0,,,188449.9999999996,,
17,62,360,,,,43617.0,,,,
17,62,361,,,,113192.0,,,,110000.0
17,62,371,,,,,,32000.0,,
17,62,373,,,,32691.000000000004,,,,
17,62,374,,48142.0,,,,,,
17,62,376,,,,,,27000.0,,90000.0
17,A,310,,,,,44000.0,35000.0,,238000.0
17,A,311,,,,,,,50000.0,
17,A,313,,,,,,98000.0,,
17,A,317,,,,,55000.0,,,
17,A,330,,116111.0,52860.0,,24400.00000000208,,,
17,A,331,28016.0,165890.0,,,,,,
17,A,332,,,,,,20000.0,,
17,A,333,,,,5000.0,,,,
17,A,334,,,,66262.0,,,,
17,A,336,48060.0,,,166238.0,,,,
17,A,338,79248.0,,,,,140000.0,,
17,A,339,,,,,37000.0,,5000.0,
17,D,316,,,,,,,,
18,54,352,,,20000.0,,17400.0,8700.0,,21000.0
18,54,354,11500.0,5000.0,,10500.0,,,26100.0,
18,54,370,,,,,,,,
18,62,360,59031.0,,13145.0,16026.0,,,240000.0000000001,
18,62,361,,,113192.0,,,,,
18,62,371,,105927.0,110663.0,113263.0,,,,226200.0
18,62,373,,91458.0,,,,,7000.0,26100.0
18,62,374,,37115.0,,118711.0,60899.99999999999,,,
18,62,375,,,,,,240200.0,,
18,A,310,,,,,35000.0,113600.00000000004,,7000.0
18,A,311,,,,107700.0,,,8700.0,166200.00000000012
18,A,313,,,8000.0,,,15200.000000000087,,
18,A,314,,10500.0,,63308.0,,,,
18,A,317,10000.0,,,49594.0,28000.0,,,69800.0
18,A,330,115653.0,,25364.0,,307000.0000000002,,,
18,A,331,106072.0,,,,,,,
