,Reality,,,,,,,,,Algorithm,,,,,,,
,Cycle 1,,Cycle 2,,Cycle 3,,Cycle 4,,,Cycle 1,,Cycle 2,,Cycle 3,,Cycle 4,
Tank,Volume_In,Volume_Out,Volume_In,Volume_Out,Volume_In,Volume_Out,Volume_In,Volume_Out,,Volume_In,Volume_Out,Volume_In,Volume_Out,Volume_In,Volume_Out,Volume_In,Volume_Out
310,,82.919,,,,,,,,270.1,356.1,475,443.5,280,162.5,299.2,354.5
311,107.906,108.115,,,122.6,101.581,,107.7,,,,100,,125,135.5,162,243.2
312,81.876,116.651,101.201,96.5,111.5,63,130.857,113.357,,175,105.9,190,198.5,250,207,193,179
313,,,134.613,,207.255,135.885,116.715,,,,,150,147.8,,,112,110
314,,,108.011,15.5,107.634,107.634,99.924,102.308,,112,112,,,,,,
316,83.725,5.349,58.185,78.5,47.989,72.5,59.143,1.143,,,,,,,,,
317,295.889,330.842,192.213,147.5,248.766,294.601,307.557,295.382,,212,243,,,,,137,69.8
330,176.26,176.26,335.747,183.611,280.194,78.224,256.072,149.348,,393,364.8,,,,,,
331,178.437,134.088,259.915,459.305,75.438,105.9,118.387,15.56,,,,,,,,,
332,104.922,97.422,104.486,104.486,,,105.009,104.486,,109,33,128.5,209.5,,,126,124.3
333,212.731,197.466,100.274,194.237,,,115.397,60.606,,,,130,136,,,316.8,314.8
334,152.644,,,104.362,,104.399,173.005,172.862,,,,,,250,187.4,,
336,109.963,109.963,107.641,107.523,,,,166.238,,,,,,,,,
337,46.554,64.5,30.114,,81.511,60.5,,32.5,,50,96,,,,,,
338,79.248,79.248,148.615,148.615,149.183,148.615,,,,221,196,383,413.3,78,57.3,,
339,,,157.985,155.862,152.43,157.521,,,,105,37,303,297.2,628,697.3,140,
350,21.099,21.099,21.088,,21.08,13.597,21.06,25.584,,,,,,,,,
351,32.679,32.679,32.294,31.107,32.294,32.294,32.675,32.294,,49.6,8.6,,,,,,
352,79.049,72.746,80.064,80.064,29.56,80.064,80.064,80.064,,124,53.4,150,139.25,90.45,126.6,260.55,314.6
353,108.547,6,60,103.548,34.851,16.872,108.558,108.558,,153.3,153.4,,,132.5,143.65,66.45,
354,82.626,46.5,83.653,36.094,103.874,103.874,54.143,53,,,,175,188.45,50,26.1,,
360,54.168,59.031,59.643,101.813,59.643,72.788,59.643,59.643,,,,,,323.3,262.25,,
361,113.374,29.281,112.723,,226.384,113.192,87.116,113.192,,,,120,8,,,120,200
363,,,,,,,,,,,,,,147.9,92.9,,
370,,,47.901,47.906,47.341,37.5,,,,,,,,,,,
371,135.388,36.04,264.432,105.927,272.366,110.663,113.263,168.591,,82,,133.2,158,216.8,153.8,186,231.2
373,62.057,,144.585,165.346,255.573,135.612,271.978,237.691,,,,,,190,7,130,158.1
374,,57.64,197.464,168.116,103.534,42.857,,118.711,,301.8,210.7,,,,,,
375,,,,,,,,,,,,345.8,290.6,,,,
376,,,,,,,,,,,,180,113,40,,114,154
