,Tank,Line,Product,Flag2,Time_min,Time_max,Volume,Start_Date_Time,Finish_Date_Time,Volume_Exists
0,310,01,A,1,20,29,274.2000000000317,2022-09-22 20:00:00,2022-09-23 06:00:00,148
1,310,01,A,2,32,32,25.0,2022-09-23 08:00:00,2022-09-23 09:00:00,148
2,310,15,A,27,83,87,22.0,2022-09-25 11:00:00,2022-09-25 16:00:00,148
3,310,17,A,28,1,48,238.0,2022-09-22 01:00:00,2022-09-24 01:00:00,148
4,310,18,A,29,30,30,7.0,2022-09-23 06:00:00,2022-09-23 07:00:00,148
5,310,19,A,30,17,31,76.5,2022-09-22 17:00:00,2022-09-23 08:00:00,148
6,310,1A,A,31,27,29,11.0,2022-09-23 03:00:00,2022-09-23 06:00:00,148
7,311,01,A,3,8,10,84.0,2022-09-22 08:00:00,2022-09-22 11:00:00,94
8,311,01,A,4,14,16,78.0,2022-09-22 14:00:00,2022-09-22 17:00:00,94
9,311,15,A,32,88,104,77.0,2022-09-25 16:00:00,2022-09-26 09:00:00,94
10,311,18,A,33,0,19,166.20000000000013,2022-09-22 00:00:00,2022-09-22 20:00:00,94
11,312,01,D,5,125,131,193.0,2022-09-27 05:00:00,2022-09-27 12:00:00,126
12,312,14,D,34,55,70,35.2,2022-09-24 07:00:00,2022-09-24 23:00:00,126
13,312,15,D,35,119,131,53.0,2022-09-26 23:00:00,2022-09-27 12:00:00,126
14,312,18,D,36,37,41,36.8,2022-09-23 13:00:00,2022-09-23 18:00:00,126
15,312,19,D,37,120,130,45.0,2022-09-27 00:00:00,2022-09-27 11:00:00,126
16,312,1A,D,38,50,53,9.0,2022-09-24 02:00:00,2022-09-24 06:00:00,126
17,313,01,A,6,0,0,28.0,2022-09-22 00:00:00,2022-09-22 01:00:00,2
18,313,01,A,7,2,4,84.0,2022-09-22 02:00:00,2022-09-22 05:00:00,2
19,313,14,A,39,0,32,78.0,2022-09-22 00:00:00,2022-09-23 09:00:00,2
20,313,15,A,40,75,82,32.0,2022-09-25 03:00:00,2022-09-25 11:00:00,2
21,317,01,A,8,11,13,81.0,2022-09-22 11:00:00,2022-09-22 14:00:00,0
22,317,01,A,9,17,18,56.0,2022-09-22 17:00:00,2022-09-22 19:00:00,0
23,317,18,A,41,21,29,69.8,2022-09-22 21:00:00,2022-09-23 06:00:00,0
24,332,01,A,10,5,7,75.0,2022-09-22 05:00:00,2022-09-22 08:00:00,0
25,332,01,A,11,30,31,51.0,2022-09-23 06:00:00,2022-09-23 08:00:00,0
26,332,18,A,42,20,20,7.0,2022-09-22 20:00:00,2022-09-22 21:00:00,0
27,332,19,A,43,44,66,117.3,2022-09-23 20:00:00,2022-09-24 19:00:00,0
28,333,01,A,12,1,1,28.0,2022-09-22 01:00:00,2022-09-22 02:00:00,0
29,333,01,A,13,33,43,288.79999999999995,2022-09-23 09:00:00,2022-09-23 20:00:00,0
30,333,14,A,44,33,41,21.599999999999998,2022-09-23 09:00:00,2022-09-23 18:00:00,0
31,333,15,A,45,29,74,194.0,2022-09-23 05:00:00,2022-09-25 03:00:00,0
32,333,19,A,46,32,43,61.199999999999996,2022-09-23 08:00:00,2022-09-23 20:00:00,0
33,333,1A,A,47,30,39,38.0,2022-09-23 06:00:00,2022-09-23 16:00:00,0
34,339,01,A,14,19,19,28.0,2022-09-22 19:00:00,2022-09-22 20:00:00,10
35,339,01,A,15,44,47,112.0,2022-09-23 20:00:00,2022-09-24 00:00:00,10
36,352,02,54,16,18,36,116.55000000000001,2022-09-22 18:00:00,2022-09-23 13:00:00,52
37,352,02,54,17,46,69,144.0,2022-09-23 22:00:00,2022-09-24 22:00:00,52
38,352,16,54,48,0,84,180.25,2022-09-22 00:00:00,2022-09-25 13:00:00,52
39,352,16,54,49,98,131,68.6,2022-09-26 02:00:00,2022-09-27 12:00:00,52
40,352,18,54,50,56,58,21.0,2022-09-24 08:00:00,2022-09-24 11:00:00,52
41,352,20,54,51,7,35,44.75,2022-09-22 07:00:00,2022-09-23 12:00:00,52
42,353,02,54,18,37,45,66.45000000000297,2022-09-23 13:00:00,2022-09-23 22:00:00,0
43,361,02,62,19,93,99,70.0,2022-09-25 21:00:00,2022-09-26 04:00:00,122
44,361,02,62,20,113,117,50.0,2022-09-26 17:00:00,2022-09-26 22:00:00,122
45,361,13,62,52,46,76,62.0,2022-09-23 22:00:00,2022-09-25 05:00:00,122
46,361,17,62,53,82,103,110.0,2022-09-25 10:00:00,2022-09-26 08:00:00,122
47,361,20,62,54,91,105,15.0,2022-09-25 19:00:00,2022-09-26 10:00:00,122
48,361,2A,62,55,126,131,13.0,2022-09-27 06:00:00,2022-09-27 12:00:00,122
49,371,02,62,21,73,83,110.0,2022-09-25 01:00:00,2022-09-25 12:00:00,130
