,Line,Product,Time_min,Time_max,Order,Time_min_1,Time_max_1,Time_min_f,Time_max_f
0,01,A,0,64,2.0,0.0,65.0,0,64
1,01,D,65,130,1.0,64.0,130.0,65,131
2,02,54,0,31,2.0,0.0,32.0,0,31
3,02,62,32,131,1.0,31.0,131.0,32,131
4,13,62,0,130,1.0,0.0,130.0,0,131
6,14,A,0,78,3.0,0.0,82.0,0,79
7,14,D,82,100,2.0,78.0,101.0,80,100
5,14,62,101,131,1.0,100.0,131.0,101,131
8,15,A,0,113,2.0,0.0,114.0,0,113
9,15,D,114,131,1.0,113.0,131.0,114,131
10,16,54,0,131,1.0,0.0,131.0,0,131
11,17,A,0,72,1.0,0.0,72.0,0,131
14,18,A,0,57,4.0,0.0,58.0,0,57
15,18,D,58,66,3.0,57.0,67.0,58,66
12,18,54,67,69,2.0,66.0,70.0,67,69
13,18,62,70,131,1.0,69.0,131.0,70,131
16,19,A,0,113,2.0,0.0,114.0,0,113
17,19,D,114,131,1.0,113.0,131.0,114,131
18,1A,A,8,74,2.0,8.0,115.0,8,94
19,1A,D,115,126,1.0,74.0,126.0,95,131
20,20,54,0,82,2.0,0.0,83.0,0,82
21,20,62,83,130,1.0,82.0,130.0,83,131
22,2A,62,9,114,1.0,9.0,114.0,9,131
