Line,Product,Tank,Volume_x,Volume_y,Volume_x,Volume_y,Volume_x,Volume_y,Volume_x,Volume_y
01,A,310,,,,,,,372962.99999999994,
01,A,311,107906.0,,122600.0,,,,,
01,A,313,,134613.0,207255.0,116715.0,,230630.99999999997,,
01,A,314,,108011.0,107634.0,99924.0,,,,
01,A,317,295889.0,192213.00000000003,248766.0,307557.0,,106723.99999999999,,
01,A,330,176260.0,335747.0,280193.99999999994,256072.0,,,,
01,A,331,178437.0,259915.00000000003,75438.0,118387.0,,,,
01,A,332,104922.0,104486.0,,105009.0,,,,
01,A,333,212731.0,100274.0,,115397.0,,130055.99999999999,,
01,A,334,152644.0,,,173005.0,221658.99999998734,190289.0,158668.99999999997,166559.0
01,A,336,109963.0,107641.0,,,116684.00000001267,,,
01,A,338,79248.0,148615.0,149183.0,,811042.0,142179.0,208731.0,724313.0
01,A,339,,157985.0,152430.0,,268608.0,849617.0,603140.0,396914.0
01,D,312,81876.0,101201.0,111500.0,130857.0,109347.0,,145427.0,
01,D,316,83725.0,58185.0,47989.00000000001,59143.0,102806.0,53007.00000000001,95574.0,
01,D,337,46554.0,30114.0,81511.0,,,136491.0,,190001.0
02,54,350,21099.0,21088.0,21080.0,21060.0,,,,
02,54,351,32679.000000000004,32293.999999999996,32293.999999999996,32674.999999999996,,,,
02,54,352,79049.0,80064.0,29560.0,80064.0,288849.0,104938.0,77812.0,76002.99999999999
02,54,353,108547.0,60000.0,34851.0,108558.0,35158.0,112361.0,81666.0,90340.0
02,54,354,82626.0,83653.0,103874.0,54143.0,,107699.99999999999,109521.0,130163.99999999999
02,54,370,,47901.0,47341.0,,,,,
02,62,360,54168.0,59643.0,59643.0,59643.0,364983.0,778852.0,,
02,62,361,113374.0,112723.0,226384.0,87116.0,,,,26177.0
02,62,371,135388.0,264432.0,272366.0,113263.0,,,,5961.0
02,62,373,62057.0,144585.0,255573.0,271978.0,,,,10108.0
02,62,374,,197464.0,103533.99999999999,,,,,40432.0
02,62,376,,,,,,,917502.0,449326.0
13,54,353,6000.0,,,,6000.0,28994.000000000004,,
13,54,370,,29000.0,,,,,,
13,62,360,,59643.0,59643.0,,57630.0,115999.0,,
13,62,361,,,,,,,,1930.0
13,62,371,,,,,,,,7720.0
13,62,373,,22998.0,,137000.0,,,,
13,62,374,57640.0,33359.0,42857.0,,,,,
13,62,376,,,,,,,102500.0,127380.0
13,A,310,,,,,,,160736.9999999984,
13,A,313,,,,,,2032.9999999999964,,
13,A,334,,,,,15700.999999987318,2.0,,
13,A,338,,,,,86951.00000000137,,20000.0,55121.999999996515
13,A,339,,,,,400.0000000742681,46091.99999999754,13773.000000003434,11541.000000001068
13,D,312,,,,,20000.0,,2653.000000006597,
13,D,316,,,,,9805.999999994685,,3000.0,
13,D,337,,,,,,95591.0,,17190.00000000003
14,54,352,,,,,88951.00000000179,0.9999999999958,,908.0000000025076
14,62,360,,,,,23540.000000000004,49500.0,,
14,62,371,23540.0,,,,,,,7928.0
14,62,373,,,67500.0,55500.0,,,,
14,62,374,,49500.0,,,,,,5946.0
14,62,376,,,,,,,67485.0,41622.0
14,A,311,,,22100.0,,,,,
14,A,313,,,,,,5000.0,,
14,A,314,,5000.0,,,,,,
14,A,317,133949.0,122500.0,5000.0,,,,,
14,A,330,,,,5000.0,,,,
14,A,331,,,105900.0,,,,,
14,A,333,,,,,,7206.0,,
14,A,334,,,,87600.0,14610.0,,15470.0,
14,A,336,10051.0,,,,55155.0,,,
14,A,338,,,,,23075.0,45638.00000000001,67582.0,92616.0
14,A,339,,,,,51135.0,69658.0,49955.99999999999,
14,D,312,,29500.0,,27357.0,10000.0,,,
14,D,316,,,,1143.0,,6807.0,32494.0,
14,D,337,,,32500.0,,,22690.0,,27360.0
15,A,310,,,,,,,46440.00000000001,
15,A,311,,,41981.0,,,,,
15,A,313,,,127885.0,,,58640.0,,
15,A,314,,,107634.0,,,,,
15,A,317,134893.0,,,,,,,
15,A,330,60607.0,,,139348.0,,,,
15,A,331,,289500.0,,15560.0,,,,
15,A,332,,,,104486.0,,,,
15,A,333,,,,55606.0,,,,
15,A,336,,,,,,,,
15,A,338,,,,,163340.99999999997,32985.0,,230057.0
15,A,339,,,,,32165.999999999996,197910.0,231055.99999999997,84941.0
15,D,312,79000.0,,63000.0,42500.0,53865.0,,33354.0,
15,D,316,,78500.0,,,25137.0,53520.0,29648.000000000004,
15,D,337,,,,,,24976.0,,42504.0
16,54,350,21099.0,,13597.0,25583.999999999996,,,,
16,54,351,32679.000000000004,31107.0,32293.999999999996,32293.999999999996,,,,
16,54,352,72746.0,80064.0,60064.0,80064.0,124486.00000000001,80880.0,68615.00000000001,67049.0
16,54,353,,103548.0,16872.0,108558.0,2041.9999999999998,36380.0,91435.0,79019.0
16,54,354,,,103874.0,,,97453.0,66653.0,100458.0
17,54,352,,,,,6000.999999999995,,,
17,62,360,,,,43617.0,96367.0,48147.0,,
17,62,361,,,,113192.0,,,,9198.0
17,62,373,,,,32691.000000000004,,,,
17,62,374,,48142.0,,,,,,73158.0
17,62,376,,,,,,,130783.00000008303,107154.0
17,A,310,,,,,,,14415.0,
17,A,313,,,,,,120732.0,,
17,A,317,,,,,,,,
17,A,330,,116111.0,52860.0,,,,,
17,A,331,28016.0,165890.0,,,,,,
17,A,333,,,,5000.0,,,,
17,A,334,,,,66262.0,,89226.99999999999,24025.0,41562.00000000001
17,A,336,48060.0,,,166238.0,20025.0,,,
17,A,338,79248.0,,,,,63426.99999999999,,39753.0
17,A,339,,,,,135298.0,8600.0,14415.0,156188.00000000003
17,D,312,,,,,982.0000000105313,,16425.999999994277,
17,D,316,,,,,,,,
17,D,337,,,,,,,,20001.0
18,54,352,,,20000.0,,11500.0,,6667.0,5250.0
18,54,354,11500.0,5000.0,,10500.0,,5000.0,13334.0,5250.0
18,54,370,,,,,,,,
18,62,360,59031.0,,13145.0,16026.0,59026.0,234499.0,,
18,62,361,,,113192.0,,,,,21419.0
18,62,371,,105927.0,110663.0,113263.0,,,,
18,62,373,,91458.0,,,,,,10789.0
18,62,374,,37115.0,,118711.0,,,,21581.0
18,62,376,,,,,,,237000.0,194202.0
