Tank,Volume_x,Volume_y,Volume_x,Volume_y,Volume_x,Volume_y,Volume_x,Volume_y,Volume_x,Volume_y,Volume_x,Volume_y,Volume_x,Volume_y,Volume_x,Volume_y
310,,82.919,,,,,,,,,,,372.96299999999997,458.9629999999984,,
311,107.906,108.115,,,122.6,101.581,,107.7,,,,,,,,
312,81.876,116.65100000000001,101.201,96.5,111.5,63.0,130.857,113.357,109.347,149.34700000001052,,,145.427,145.42700000000087,,
313,,,134.613,,207.255,135.885,116.715,,,,230.63099999999997,230.355,,,,
314,,,108.011,15.5,107.634,107.634,99.924,102.30799999999999,,,,,,,,
316,83.725,5.349,58.185,78.5,47.989000000000004,72.5,59.143,1.143,102.806,77.93999999999468,53.007000000000005,78.57600000000001,95.574,72.642,,
317,295.889,330.842,192.21300000000002,147.5,248.766,294.601,307.557,295.382,,,106.72399999999999,121.577,,,,
330,176.26,176.26,335.747,183.611,280.19399999999996,78.224,256.072,149.348,,,,,,,,
331,178.437,134.088,259.915,459.305,75.438,105.9,118.387,15.56,,,,,,,,
332,104.922,97.422,104.486,104.486,,,105.009,104.486,,,,,,,,
333,212.731,197.466,100.274,194.237,,,115.397,60.606,,,130.05599999999998,133.769,,,,
334,152.644,,,104.362,,104.399,173.005,172.862,221.65899999998734,224.2219999999873,190.289,193.76399999999998,158.66899999999998,157.311,166.559,124.35400000000001
336,109.963,109.963,107.641,107.523,,,,166.238,116.68400000001267,104.848,,,,,,
337,46.554,64.5,30.114,,81.511,60.5,,32.5,,,136.491,192.007,,,190.001,183.05300000000003
338,79.248,79.248,148.615,148.615,149.183,148.615,,,811.042,817.0420000000014,142.179,142.04999999999998,208.731,205.448,724.313,721.8669999999966
339,,,157.985,155.862,152.43,157.521,,,268.608,273.2770000000743,849.617,845.1779999999976,603.14,607.1400000000034,396.914,394.89800000000105
350,21.099,21.099,21.088,,21.08,13.597,21.06,25.583999999999996,,,,,,,,
351,32.679,32.679,32.294,31.107,32.294,32.294,32.675,32.294,,,,,,,,
352,79.049,72.746,80.064,80.064,29.56,80.064,80.064,80.064,288.849,296.9890000000037,104.938,101.96900000000007,77.812,76.84400000000001,76.00299999999999,82.0030000000025
353,108.547,6.0,60.0,103.548,34.851,16.872,108.558,108.558,35.158,38.66,112.361,96.516,81.666,99.245,90.34,87.815
354,82.626,46.5,83.653,36.094,103.874,103.874,54.143,53.0,,,107.69999999999999,121.323,109.521,108.10300000000001,130.164,130.63
360,54.168,59.031,59.643,101.813,59.643,72.788,59.643,59.643,364.983,338.339,778.852,813.312,,,,
361,113.374,29.281,112.723,,226.384,113.192,87.116,113.192,,,,,,,26.177,35.047
370,,,47.901,47.906,47.341,37.5,,,,,,,,,,
371,135.388,36.04,264.432,105.927,272.366,110.663,113.263,168.591,,,,,,,5.961,15.656999999999998
373,62.057,,144.585,165.346,255.573,135.612,271.978,237.691,,,,,,,10.108,31.424999999999997
374,,57.64,197.464,168.116,103.53399999999999,42.857,,118.711,,,,,,,40.432,108.31899999999999
376,,,,,,,,,,,,,917.502,852.4730000000831,449.326,515.141
