,Tank,Line,Product,Time,Volume
0,334,01,A,18,16.285
1,334,01,A,19,16.285
2,334,01,A,20,16.285
3,334,01,A,21,16.285
4,334,01,A,22,16.285
5,334,01,A,23,16.285
6,334,01,A,24,16.285
7,334,01,A,25,16.285
8,334,01,A,26,16.285
9,334,01,A,27,19.994
10,337,01,D,82,11.896
11,337,01,D,83,11.896
12,337,01,D,84,11.896
13,337,01,D,85,11.896
14,337,01,D,86,11.896
15,337,01,D,87,11.896
16,337,01,D,88,11.896
17,337,01,D,89,11.896
18,337,01,D,90,11.896
19,337,01,D,91,11.896
20,337,01,D,92,11.896
21,337,01,D,93,11.829
22,337,01,D,94,11.829
23,337,01,D,95,11.829
24,337,01,D,96,11.829
25,337,01,D,97,11.829
26,338,01,A,0,14.589
27,338,01,A,1,14.589
28,338,01,A,2,14.589
29,338,01,A,3,14.589
30,338,01,A,4,14.589
31,338,01,A,5,14.589
32,338,01,A,6,14.589
33,338,01,A,7,14.589
34,338,01,A,28,19.994
35,338,01,A,43,21.002
36,338,01,A,44,21.002
37,338,01,A,45,19.233
38,338,01,A,46,19.233
39,338,01,A,47,19.233
40,338,01,A,48,19.233
41,338,01,A,49,19.233
42,338,01,A,50,19.233
43,338,01,A,51,17.3
44,338,01,A,52,17.3
45,338,01,A,53,17.3
46,338,01,A,54,17.3
47,338,01,A,55,17.3
48,338,01,A,56,17.3
49,338,01,A,57,17.3
50,338,01,A,58,17.3
51,338,01,A,59,17.3
52,338,01,A,60,17.3
53,338,01,A,61,17.637
54,338,01,A,62,17.637
55,338,01,A,63,17.637
56,338,01,A,64,17.637
57,338,01,A,65,17.637
58,338,01,A,66,17.637
59,338,01,A,67,17.637
60,338,01,A,68,17.637
61,338,01,A,69,16.587
62,338,01,A,70,16.587
63,338,01,A,71,16.587
64,338,01,A,72,16.587
65,338,01,A,73,16.587
66,338,01,A,74,16.587
67,338,01,A,75,16.587
68,339,01,A,8,16.654
69,339,01,A,9,16.654
70,339,01,A,10,16.654
71,339,01,A,11,16.654
72,339,01,A,12,16.654
73,339,01,A,13,16.654
74,339,01,A,14,19.894
75,339,01,A,29,19.994
76,339,01,A,30,19.994
77,339,01,A,31,19.994
78,339,01,A,32,19.994
79,339,01,A,33,19.994
80,339,01,A,34,19.02
81,339,01,A,35,19.02
82,339,01,A,36,19.02
83,339,01,A,37,19.02
84,339,01,A,38,19.02
85,339,01,A,39,19.02
86,339,01,A,40,21.002
87,339,01,A,41,21.002
88,339,01,A,42,21.002
89,352,02,54,73,10.53
90,352,02,54,74,10.53
91,352,02,54,75,10.892
92,352,02,54,76,10.892
93,352,02,54,77,10.892
94,352,02,54,78,11.438
95,352,02,54,99,10.829
96,353,02,54,79,11.438
97,353,02,54,80,11.438
98,353,02,54,81,11.438
99,353,02,54,82,11.438
100,353,02,54,83,11.438
101,353,02,54,84,11.438
102,353,02,54,85,10.856
103,353,02,54,86,10.856
104,354,02,54,87,10.856
105,354,02,54,88,10.856
106,354,02,54,89,10.856
107,354,02,54,90,10.855999999999995
108,354,02,54,91,10.856
109,354,02,54,92,10.856
110,354,02,54,93,10.856
111,354,02,54,94,10.856
112,354,02,54,95,10.829
113,354,02,54,96,10.829
114,354,02,54,97,10.829
115,354,02,54,98,10.829
116,361,02,62,112,10.108
117,361,02,62,116,10.108
118,361,02,62,156,5.961
119,371,02,62,155,5.961
120,373,02,62,117,10.108
121,374,02,62,104,10.108
122,374,02,62,113,10.108
123,374,02,62,114,10.108
124,374,02,62,115,10.108
125,376,02,62,105,10.108
126,376,02,62,106,10.108
127,376,02,62,107,10.108
128,376,02,62,108,10.108
129,376,02,62,109,10.108
130,376,02,62,110,10.108
131,376,02,62,111,10.108
132,376,02,62,118,10.108
133,376,02,62,119,10.108
134,376,02,62,120,10.108
135,376,02,62,121,6.627
136,376,02,62,122,6.627
137,376,02,62,123,6.627
138,376,02,62,124,6.627
139,376,02,62,125,6.627
140,376,02,62,126,6.627
141,376,02,62,127,6.627
142,376,02,62,128,6.627
143,376,02,62,129,6.627
144,376,02,62,130,6.223
145,376,02,62,131,6.223
146,376,02,62,132,6.223
147,376,02,62,133,6.223
148,376,02,62,134,6.223
149,376,02,62,135,6.223
150,376,02,62,136,6.223
151,376,02,62,137,6.223
152,376,02,62,138,6.223
153,376,02,62,139,6.223
154,376,02,62,140,6.223
155,376,02,62,141,6.223
156,376,02,62,142,6.223
157,376,02,62,143,6.223
158,376,02,62,144,5.961
159,376,02,62,145,5.961
160,376,02,62,146,5.961
161,376,02,62,147,5.961
162,376,02,62,148,5.961
163,376,02,62,149,5.961
164,376,02,62,150,5.961
165,376,02,62,151,5.961
166,376,02,62,152,5.961
167,376,02,62,153,5.961
168,376,02,62,154,5.961
169,376,02,62,157,5.961
170,376,02,62,158,5.961
171,376,02,62,159,5.961
172,376,02,62,160,5.961
173,376,02,62,161,5.961
174,376,02,62,162,5.961
175,376,02,62,163,6.259
176,376,02,62,164,6.259
177,376,02,62,165,6.259
178,376,02,62,166,6.259
179,376,02,62,167,6.259
180,376,02,62,168,6.259
181,376,02,62,169,6.259
182,376,02,62,170,6.259
183,376,02,62,171,6.259
184,376,02,62,172,6.259
185,376,02,62,173,6.259
186,376,02,62,174,6.259
187,376,02,62,175,6.259
188,376,02,62,176,6.259
189,376,02,62,177,6.259
190,376,02,62,178,6.259
