,Tank,Line,Product,Flag2,Time_min,Time_max,Volume,Start_Date_Time,Finish_Date_Time,Volume_Exists
0,312,01,D,1,85,90,109.34700000000001,2023-01-25 15:00:00,2023-01-25 21:00:00,40
1,312,13,D,21,10,11,20.0,2023-01-22 12:00:00,2023-01-22 14:00:00,40
2,312,14,D,22,27,27,10.0,2023-01-23 05:00:00,2023-01-23 06:00:00,40
3,312,15,D,23,96,110,53.865,2023-01-26 02:00:00,2023-01-26 17:00:00,40
4,312,17,D,24,57,57,0.9820000000105313,2023-01-24 11:00:00,2023-01-24 12:00:00,40
5,312,19,D,25,90,101,55.5,2023-01-25 20:00:00,2023-01-26 08:00:00,40
6,312,1A,D,26,125,127,9.0,2023-01-27 07:00:00,2023-01-27 10:00:00,40
7,316,01,D,2,79,84,102.806,2023-01-25 09:00:00,2023-01-25 15:00:00,4
8,316,13,D,27,79,79,9.805999999994683,2023-01-25 09:00:00,2023-01-25 10:00:00,4
9,316,15,D,28,111,117,25.137,2023-01-26 17:00:00,2023-01-27 00:00:00,4
10,316,18,D,29,118,126,42.997,2023-01-27 00:00:00,2023-01-27 09:00:00,4
11,334,01,A,3,18,23,127.05399999998733,2023-01-22 20:00:00,2023-01-23 02:00:00,7
12,334,01,A,4,67,70,74.793,2023-01-24 21:00:00,2023-01-25 01:00:00,7
13,334,01,A,5,72,72,19.812,2023-01-25 02:00:00,2023-01-25 03:00:00,7
14,334,13,A,30,41,41,5.700999999987317,2023-01-23 19:00:00,2023-01-23 20:00:00,7
15,334,13,A,31,69,69,10.0,2023-01-24 23:00:00,2023-01-25 00:00:00,7
16,334,14,A,32,62,67,14.61,2023-01-24 16:00:00,2023-01-24 22:00:00,7
17,334,18,A,33,69,79,64.823,2023-01-24 23:00:00,2023-01-25 10:00:00,7
18,334,18,A,34,81,86,35.745999999999995,2023-01-25 11:00:00,2023-01-25 17:00:00,7
19,334,18,A,35,92,105,84.566,2023-01-25 22:00:00,2023-01-26 12:00:00,7
20,334,19,A,36,69,70,8.776,2023-01-24 23:00:00,2023-01-25 01:00:00,7
21,336,01,A,6,22,26,62.952000000012674,2023-01-23 00:00:00,2023-01-23 05:00:00,4
22,336,01,A,7,38,39,33.92,2023-01-23 16:00:00,2023-01-23 18:00:00,4
23,336,01,A,8,71,71,19.812,2023-01-25 01:00:00,2023-01-25 02:00:00,4
24,336,14,A,37,59,61,7.305,2023-01-24 13:00:00,2023-01-24 16:00:00,4
25,336,14,A,38,94,110,41.395,2023-01-26 00:00:00,2023-01-26 17:00:00,4
26,336,14,A,39,113,115,6.455,2023-01-26 19:00:00,2023-01-26 22:00:00,4
27,336,17,A,40,124,128,20.025,2023-01-27 06:00:00,2023-01-27 11:00:00,4
28,336,18,A,41,110,112,17.283,2023-01-26 16:00:00,2023-01-26 19:00:00,4
29,336,18,A,42,127,128,10.0,2023-01-27 09:00:00,2023-01-27 11:00:00,4
30,336,1A,A,43,72,124,2.385,2023-01-25 02:00:00,2023-01-27 07:00:00,4
31,338,01,A,9,1,16,356.584,2023-01-22 03:00:00,2023-01-22 19:00:00,6
32,338,01,A,10,27,37,190.71,2023-01-23 05:00:00,2023-01-23 16:00:00,6
33,338,01,A,11,52,66,263.748,2023-01-24 06:00:00,2023-01-24 21:00:00,6
34,338,13,A,44,2,6,40.001,2023-01-22 04:00:00,2023-01-22 09:00:00,6
35,338,13,A,45,12,16,40.001,2023-01-22 14:00:00,2023-01-22 19:00:00,6
36,338,13,A,46,72,72,6.9490000000013765,2023-01-25 02:00:00,2023-01-25 03:00:00,6
37,338,14,A,47,68,71,9.74,2023-01-24 22:00:00,2023-01-25 02:00:00,6
38,338,14,A,48,74,76,7.305,2023-01-25 04:00:00,2023-01-25 07:00:00,6
39,338,14,A,49,116,118,6.029999999999999,2023-01-26 22:00:00,2023-01-27 01:00:00,6
