,Tank,Line,Product,Time,Volume,Time1,Time2,Flag,Flag2,Volume_actual,Volume_solution,Volume_diff,Mode,Volume_cum,Volume_cum_diff,Volume_real,Volume_removed
211,312,14,D,93,2.4,1.0,,First,5,22,23.000000000000007,1.000000000000007,Out,2.4,1.3999999999999928,1.3999999999999928,1.000000000000007
212,312,14,D,94,2.4,1.0,1.0,,5,22,23.000000000000007,1.000000000000007,Out,4.8,3.7999999999999927,2.4,0.0
213,312,14,D,95,2.4,1.0,1.0,,5,22,23.000000000000007,1.000000000000007,Out,7.199999999999999,6.199999999999992,2.4,0.0
214,312,14,D,96,2.4,1.0,1.0,,5,22,23.000000000000007,1.000000000000007,Out,9.6,8.599999999999993,2.4,0.0
215,312,14,D,97,2.0,1.0,1.0,,5,22,23.000000000000007,1.000000000000007,Out,11.6,10.599999999999993,2.0,0.0
216,312,14,D,98,2.4,1.0,1.0,,5,22,23.000000000000007,1.000000000000007,Out,14.0,12.999999999999993,2.4,0.0
217,312,14,D,99,2.0,1.0,1.0,,5,22,23.000000000000007,1.000000000000007,Out,16.0,14.999999999999993,2.0,0.0
218,312,14,D,100,2.4,1.0,1.0,,5,22,23.000000000000007,1.000000000000007,Out,18.4,17.39999999999999,2.4,0.0
221,312,15,D,100,5.0,1.0,,First,6,69,74.0,5.0,Out,5.0,0.0,0.0,5.0
219,312,14,D,101,2.4,1.0,1.0,,5,22,23.000000000000007,1.000000000000007,Out,20.8,19.799999999999994,2.4,0.0
222,312,15,D,101,5.0,1.0,1.0,,6,69,74.0,5.0,Out,10.0,5.0,5.0,0.0
220,312,14,D,102,2.2000000000000095,,1.0,,5,22,23.000000000000007,1.000000000000007,Out,23.000000000000007,22.0,2.2000000000000095,0.0
223,312,15,D,102,4.0,30.0,1.0,,6,69,74.0,5.0,Out,14.0,9.0,4.0,0.0
224,312,15,D,132,5.0,1.0,30.0,First,7,69,74.0,5.0,Out,19.0,14.0,5.0,0.0
225,312,15,D,133,5.0,1.0,1.0,,7,69,74.0,5.0,Out,24.0,19.0,5.0,0.0
226,312,15,D,134,5.0,1.0,1.0,,7,69,74.0,5.0,Out,29.0,24.0,5.0,0.0
236,312,19,D,134,5.1,1.0,,First,8,49,51.0,2.0,Out,5.1,3.0999999999999996,3.0999999999999996,2.0
246,312,1A,D,134,1.0,8.0,,First,9,5,11.0,6.0,Out,1.0,-5.0,0.0,1.0
227,312,15,D,135,5.0,1.0,1.0,,7,69,74.0,5.0,Out,34.0,29.0,5.0,0.0
237,312,19,D,135,5.1,1.0,1.0,,8,49,51.0,2.0,Out,10.2,8.2,5.1,0.0
228,312,15,D,136,5.0,1.0,1.0,,7,69,74.0,5.0,Out,39.0,34.0,5.0,0.0
238,312,19,D,136,5.1,1.0,1.0,,8,49,51.0,2.0,Out,15.299999999999999,13.299999999999999,5.1,0.0
229,312,15,D,137,5.0,1.0,1.0,,7,69,74.0,5.0,Out,44.0,39.0,5.0,0.0
239,312,19,D,137,5.1,1.0,1.0,,8,49,51.0,2.0,Out,20.4,18.4,5.1,0.0
230,312,15,D,138,5.0,1.0,1.0,,7,69,74.0,5.0,Out,49.0,44.0,5.0,0.0
240,312,19,D,138,5.1,1.0,1.0,,8,49,51.0,2.0,Out,25.5,23.5,5.1,0.0
231,312,15,D,139,5.0,1.0,1.0,,7,69,74.0,5.0,Out,54.0,49.0,5.0,0.0
241,312,19,D,139,5.1,1.0,1.0,,8,49,51.0,2.0,Out,30.599999999999998,28.599999999999998,5.1,0.0
232,312,15,D,140,5.0,1.0,1.0,,7,69,74.0,5.0,Out,59.0,54.0,5.0,0.0
242,312,19,D,140,5.1,1.0,1.0,,8,49,51.0,2.0,Out,35.699999999999996,33.699999999999996,5.1,0.0
233,312,15,D,141,5.0,1.0,1.0,,7,69,74.0,5.0,Out,64.0,59.0,5.0,0.0
243,312,19,D,141,5.1,1.0,1.0,,8,49,51.0,2.0,Out,40.8,38.8,5.1,0.0
234,312,15,D,142,5.0,1.0,1.0,,7,69,74.0,5.0,Out,69.0,64.0,5.0,0.0
244,312,19,D,142,5.1,1.0,1.0,,8,49,51.0,2.0,Out,45.9,43.9,5.1,0.0
247,312,1A,D,142,5.0,1.0,8.0,First,10,5,11.0,6.0,Out,6.0,0.0,0.0,5.0
235,312,15,D,143,5.0,,1.0,,7,69,74.0,5.0,Out,74.0,69.0,5.0,0.0
245,312,19,D,143,5.1,,1.0,,8,49,51.0,2.0,Out,51.0,49.0,5.1,0.0
248,312,1A,D,143,5.0,,1.0,,10,5,11.0,6.0,Out,11.0,5.0,5.0,0.0
249,316,18,D,86,7.600000000000001,1.0,,First,11,25,25.0,0.0,Out,7.600000000000001,7.600000000000001,7.600000000000001,0.0
250,316,18,D,87,8.7,1.0,1.0,,11,25,25.0,0.0,Out,16.3,16.3,8.7,0.0
251,316,18,D,88,8.7,,1.0,,11,25,25.0,0.0,Out,25.0,25.0,8.7,0.0
