Line,Product,Tank,Volume
01,A,310,238917.0
01,A,311,59692.0
01,A,313,119384.0
01,A,314,116399.0
01,A,330,328306.0
01,A,332,77117.0
01,A,334,29846.0
01,A,336,149230.0
01,A,337,328306.0
01,A,338,134456.0
01,A,339,213100.0
01,D,317,181652.0
02,54,352,129278.0
02,54,353,134675.0
02,54,354,8303.0
02,54,370,74727.0
02,62,360,36501.0
02,62,374,201607.0
02,62,376,831855.0
13,54,352,1925.0
13,54,353,3850.0
13,54,370,3908.0
13,62,374,11261.0
13,62,376,88220.0
14,62,360,6300.0
14,62,374,21693.0
14,62,376,25200.0
14,A,311,2100.0
14,A,313,25200.0
14,A,314,14700.0
14,A,330,52500.0
14,A,332,8400.0
14,A,336,11613.0
14,A,337,10500.0
14,A,338,2100.0
14,A,339,11907.0
14,D,317,22302.0
15,A,310,25900.0
15,A,311,14800.0
15,A,313,55500.0
15,A,314,81400.0
15,A,330,21904.0
15,A,332,42365.0
15,A,334,11100.0
15,A,336,37000.0
15,A,337,85100.0
15,A,338,11100.0
15,A,339,14800.0
15,D,317,38221.0
16,54,352,120684.0
16,54,353,163324.0
17,62,376,270495.0
17,A,310,4500.0
17,A,311,18000.0
17,A,313,22500.0
17,A,330,49545.0
17,A,332,15300.0
17,A,334,4500.0
17,A,336,40500.0
17,A,337,67500.0
17,A,338,9000.0
17,A,339,22500.0
17,D,317,20295.0
18,54,370,4320.0
18,62,376,300480.0
18,A,310,96060.0
18,A,311,12000.0
18,A,313,42000.0
18,A,314,21780.0
18,A,330,60000.0
18,A,332,48000.0
18,A,334,18000.0
18,A,336,30000.0
18,A,337,67320.0
18,A,338,18000.0
18,A,339,6000.0
18,D,317,23880.0
19,A,310,38400.0
19,A,311,33600.0
19,A,313,67200.0
19,A,314,38400.0
19,A,330,43200.0
19,A,332,51360.0
19,A,334,19200.0
19,A,336,52800.0
19,A,337,96000.0
19,A,338,14400.0
19,A,339,33600.0
19,D,317,53472.0
1A,A,310,8700.0
1A,A,311,2900.0
1A,A,313,2900.0
1A,A,314,8700.0
1A,A,330,29000.0
1A,A,332,20300.0
1A,A,334,2320.0
1A,A,336,3480.0
1A,A,337,493.0
1A,A,338,2900.0
1A,A,339,5800.0
1A,D,317,12615.0
20,54,353,27392.0
20,54,370,17600.0
20,62,374,99200.0
20,62,376,142592.0
2A,62,360,1510.0
2A,62,374,2850.0
2A,62,376,38133.0
