Line,Product,Tank,Volume
01,A,310,545270.0
01,A,311,112475.0
01,A,313,55318.0
01,A,314,30830.0
01,A,317,80683.0
01,A,330,166264.0
01,A,332,228225.0
01,A,333,46126.0
01,A,339,152802.0
01,D,312,144668.0
01,D,316,51967.0
01,D,337,15518.0
02,54,350,166801.0
02,54,353,123048.0
02,54,354,34158.0
02,62,360,333741.0
02,62,361,10414.0
02,62,376,20828.0
13,54,350,6000.0
13,62,360,57630.0
13,A,310,107985.0
13,A,332,13442.0
13,D,312,30002.0
14,54,350,40003.0
14,62,361,21400.0
14,62,376,2140.0
14,A,311,115180.0
14,A,314,28795.0
14,D,312,29664.0
15,A,310,191942.0
15,A,330,3565.0
15,D,312,79002.0
16,54,352,4083.9999999999995
16,54,353,122444.0
17,54,350,20003.999999999996
17,62,360,112605.0
17,A,339,155323.0
17,D,337,2.0
18,54,350,5750.0
18,54,354,5750.0
18,62,360,59026.0
18,A,330,164081.00000000003
18,A,332,216911.0
18,D,316,38291.00000000001
18,D,337,4706.0
19,54,350,43789.0
19,54,351,1.0
19,62,374,68000.0
19,A,310,278796.0
19,A,317,109699.99999999999
19,D,312,37000.0
19,D,337,18500.0
1A,A,310,48469.0
1A,A,330,3575.0
1A,D,312,9000.0
20,54,354,34992.0
20,62,360,29274.0
2A,54,350,50009.0
2A,62,360,12499.0
