#,Tank,Volume In,Volume Out
1,310,1059682.0,1124029.0
2,311,104461.0,68760.0
3,312,36164.0,22581.0
4,313,89538.0,127680.0
5,314,134307.0,124000.0
6,316,59841.0,19858.0
7,317,145488.0,148204.0
8,330,32348.0,75800.0
9,332,14923.0,126907.0
10,336,0.0,26900.0
11,337,116399.0,35193.0
12,338,14923.0,24800.0
13,339,168331.0,34720.0
14,350,24909.0,42374.0
15,352,142978.0,118634.0
16,353,74727.0,123058.0
17,354,0.0,0.0
18,361,165106.0,135157.0
19,363,49818.0,55087.0
20,370,54551.0,3850.0
21,374,279841.0,224800.0
22,376,625016.0,647977.0
