Rank,Tank,Line,Product,Flag2,Time_min,Time_max,Volume,Start_Date_Time,Finish_Date_Time,Volume_Exists
1,310,01,A,1,55,66,179.225,2023-09-24 12:00:00,2023-09-25 00:00:00,72.0
2,310,01,A,2,68,128,910.154,2023-09-25 01:00:00,2023-09-27 14:00:00,72.0
3,310,01,A,3,143,147,74.615,2023-09-28 04:00:00,2023-09-28 09:00:00,72.0
4,310,14,A,38,2,8,14.7,2023-09-22 07:00:00,2023-09-22 14:00:00,72.0
5,310,14,A,39,18,20,6.3,2023-09-22 23:00:00,2023-09-23 02:00:00,72.0
6,310,14,A,40,54,67,28.707,2023-09-24 11:00:00,2023-09-25 01:00:00,72.0
7,310,15,A,41,47,69,85.1,2023-09-24 04:00:00,2023-09-25 03:00:00,72.0
8,310,15,A,42,73,128,206.904,2023-09-25 06:00:00,2023-09-27 14:00:00,72.0
9,310,17,A,43,72,95,108.0,2023-09-25 05:00:00,2023-09-26 05:00:00,72.0
10,310,17,A,44,99,100,9.0,2023-09-26 08:00:00,2023-09-26 10:00:00,72.0
11,310,17,A,45,109,127,85.545,2023-09-26 18:00:00,2023-09-27 13:00:00,72.0
12,310,18,A,46,74,74,6.0,2023-09-25 07:00:00,2023-09-25 08:00:00,72.0
13,310,18,A,47,77,115,234.0,2023-09-25 10:00:00,2023-09-27 01:00:00,72.0
14,310,18,A,48,120,122,13.32,2023-09-27 05:00:00,2023-09-27 08:00:00,72.0
15,310,19,A,49,53,53,4.8,2023-09-24 10:00:00,2023-09-24 11:00:00,72.0
16,310,19,A,50,55,84,144.0,2023-09-24 12:00:00,2023-09-25 18:00:00,72.0
17,310,19,A,51,98,121,115.2,2023-09-26 07:00:00,2023-09-27 07:00:00,72.0
18,310,1A,A,52,56,64,26.1,2023-09-24 13:00:00,2023-09-24 22:00:00,72.0
19,310,1A,A,53,66,71,17.4,2023-09-24 23:00:00,2023-09-25 05:00:00,72.0
20,310,1A,A,54,75,76,5.8,2023-09-25 08:00:00,2023-09-25 10:00:00,72.0
21,311,01,A,4,67,67,15.072,2023-09-25 00:00:00,2023-09-25 01:00:00,54.0
22,311,01,A,5,148,148,14.923,2023-09-28 09:00:00,2023-09-28 10:00:00,54.0
23,311,14,A,55,36,36,2.1,2023-09-23 17:00:00,2023-09-23 18:00:00,54.0
24,311,15,A,56,23,23,3.7,2023-09-23 04:00:00,2023-09-23 05:00:00,54.0
25,311,17,A,57,71,71,1.8,2023-09-25 04:00:00,2023-09-25 05:00:00,54.0
26,311,17,A,58,101,103,13.5,2023-09-26 10:00:00,2023-09-26 13:00:00,54.0
27,311,18,A,59,72,73,12.0,2023-09-25 05:00:00,2023-09-25 07:00:00,54.0
28,311,18,A,60,75,76,12.0,2023-09-25 08:00:00,2023-09-25 10:00:00,54.0
29,311,19,A,61,48,49,9.6,2023-09-24 05:00:00,2023-09-24 07:00:00,54.0
30,311,19,A,62,54,54,4.8,2023-09-24 11:00:00,2023-09-24 12:00:00,54.0
31,311,19,A,63,93,93,4.8,2023-09-26 02:00:00,2023-09-26 03:00:00,54.0
32,311,1A,A,64,52,52,2.9,2023-09-24 09:00:00,2023-09-24 10:00:00,54.0
33,313,01,A,6,165,170,78.793,2023-09-29 02:00:00,2023-09-29 08:00:00,98.0
34,313,15,A,65,35,39,18.5,2023-09-23 16:00:00,2023-09-23 21:00:00,98.0
35,313,17,A,66,106,108,13.5,2023-09-26 15:00:00,2023-09-26 18:00:00,98.0
36,313,18,A,67,52,54,18.0,2023-09-24 09:00:00,2023-09-24 12:00:00,98.0
37,313,18,A,68,56,59,24.0,2023-09-24 13:00:00,2023-09-24 17:00:00,98.0
38,313,19,A,69,90,91,9.6,2023-09-25 23:00:00,2023-09-26 01:00:00,98.0
39,313,19,A,70,94,96,14.4,2023-09-26 03:00:00,2023-09-26 06:00:00,98.0
40,314,14,A,71,42,42,2.1,2023-09-23 23:00:00,2023-09-24 00:00:00,124.0
