Rank,Tank,Line,Product,Flag2,Time_min,Time_max,Volume,Start_Date_Time,Finish_Date_Time,Volume_Exists
1,312,01,D,1,80,80,16.375,2023-01-25 10:00:00,2023-01-25 11:00:00,40.0
2,312,01,D,2,82,83,32.75,2023-01-25 12:00:00,2023-01-25 14:00:00,40.0
3,312,01,D,3,87,90,67.485,2023-01-25 17:00:00,2023-01-25 21:00:00,40.0
4,312,13,D,24,0,0,10.0,2023-01-22 02:00:00,2023-01-22 03:00:00,40.0
5,312,14,D,25,0,0,10.0,2023-01-22 02:00:00,2023-01-22 03:00:00,40.0
6,312,15,D,26,98,108,39.501,2023-01-26 04:00:00,2023-01-26 15:00:00,40.0
7,312,15,D,27,110,116,25.137,2023-01-26 16:00:00,2023-01-26 23:00:00,40.0
8,312,17,D,28,0,0,6.817,2023-01-22 02:00:00,2023-01-22 03:00:00,40.0
9,312,18,D,29,119,120,9.412,2023-01-27 01:00:00,2023-01-27 03:00:00,40.0
10,312,18,D,30,122,124,14.118,2023-01-27 04:00:00,2023-01-27 07:00:00,40.0
11,312,19,D,31,90,92,13.875,2023-01-25 20:00:00,2023-01-25 23:00:00,40.0
12,312,19,D,32,94,96,13.875,2023-01-26 00:00:00,2023-01-26 03:00:00,40.0
13,312,19,D,33,98,100,13.875,2023-01-26 04:00:00,2023-01-26 07:00:00,40.0
14,314,01,A,4,30,33,67.912,2023-01-23 08:00:00,2023-01-23 12:00:00,0.0
15,314,01,A,5,55,56,40.404,2023-01-24 09:00:00,2023-01-24 11:00:00,0.0
16,314,01,A,6,62,62,15.648,2023-01-24 16:00:00,2023-01-24 17:00:00,0.0
17,314,14,A,34,75,118,105.015,2023-01-25 05:00:00,2023-01-27 01:00:00,0.0
18,314,18,A,35,59,59,5.412,2023-01-24 13:00:00,2023-01-24 14:00:00,0.0
19,314,18,A,36,86,86,6.087,2023-01-25 16:00:00,2023-01-25 17:00:00,0.0
20,314,19,A,37,30,30,4.505,2023-01-23 08:00:00,2023-01-23 09:00:00,0.0
21,314,1A,A,38,78,121,1.98,2023-01-25 08:00:00,2023-01-27 04:00:00,0.0
22,331,01,A,7,15,18,107.953,2023-01-22 17:00:00,2023-01-22 21:00:00,4.0
23,331,01,A,8,57,57,20.202,2023-01-24 11:00:00,2023-01-24 12:00:00,4.0
24,331,01,A,9,72,72,19.812,2023-01-25 02:00:00,2023-01-25 03:00:00,4.0
25,331,13,A,39,25,26,18.274,2023-01-23 03:00:00,2023-01-23 05:00:00,4.0
26,331,17,A,40,137,137,4.669,2023-01-27 19:00:00,2023-01-27 20:00:00,4.0
27,331,18,A,41,51,51,5.412,2023-01-24 05:00:00,2023-01-24 06:00:00,4.0
28,331,18,A,42,72,77,35.358,2023-01-25 02:00:00,2023-01-25 08:00:00,4.0
29,331,18,A,43,80,85,35.552,2023-01-25 10:00:00,2023-01-25 16:00:00,4.0
30,331,19,A,44,72,73,8.776,2023-01-25 02:00:00,2023-01-25 04:00:00,4.0
31,331,19,A,45,76,85,43.88,2023-01-25 06:00:00,2023-01-25 16:00:00,4.0
32,334,01,A,10,1,14,298.758,2023-01-22 03:00:00,2023-01-22 17:00:00,7.0
33,334,01,A,11,34,54,375.934,2023-01-23 12:00:00,2023-01-24 09:00:00,7.0
34,334,01,A,12,58,61,62.592,2023-01-24 12:00:00,2023-01-24 16:00:00,7.0
35,334,13,A,46,3,4,20.0,2023-01-22 05:00:00,2023-01-22 07:00:00,7.0
36,334,13,A,47,9,13,22.549,2023-01-22 11:00:00,2023-01-22 16:00:00,7.0
37,334,13,A,48,39,48,36.712,2023-01-23 17:00:00,2023-01-24 03:00:00,7.0
38,334,15,A,49,4,18,54.69,2023-01-22 06:00:00,2023-01-22 21:00:00,7.0
