,Tank,Line,Product,Flag2,Time_min,Time_max,Volume,Start_Date_Time,Finish_Date_Time,Volume_Exists
2,310,18,A,30,0,10,90.6,9/22/2022 0:00,9/22/2022 11:00,86
4,310,1A,A,32,0,4,13,9/22/2022 0:00,9/22/2022 5:00,86
22,314,17,A,45,0,11,60,9/22/2022 0:00,9/22/2022 12:00,
24,314,19,A,47,0,21,112.2,9/22/2022 0:00,9/22/2022 22:00,
74,350,13,54,82,0,0,2,9/22/2022 0:00,9/22/2022 1:00,4
78,351,2,54,22,0,39,263.65,9/22/2022 0:00,9/23/2022 16:00,5
88,354,20,54,94,0,9,10,9/22/2022 0:00,9/22/2022 10:00,14
0,310,1,A,1,1,2,55.1,9/22/2022 1:00,9/22/2022 3:00,86
81,352,13,54,88,1,1,2,9/22/2022 1:00,9/22/2022 2:00,6
79,351,13,54,86,2,3,4,9/22/2022 2:00,9/22/2022 4:00,5
66,338,1,A,19,3,3,25,9/22/2022 3:00,9/22/2022 4:00,6
47,332,1,A,13,4,6,75,9/22/2022 4:00,9/22/2022 7:00,5
55,333,1A,A,70,5,5,1,9/22/2022 5:00,9/22/2022 6:00,6
25,314,1A,A,48,6,6,5,9/22/2022 6:00,9/22/2022 7:00,
33,317,1,A,10,7,10,100,9/22/2022 7:00,9/22/2022 11:00,31
37,317,1A,A,56,7,17,43,9/22/2022 7:00,9/22/2022 18:00,31
85,353,20,54,92,10,11,3,9/22/2022 10:00,9/22/2022 12:00,7
19,314,1,A,6,11,17,178,9/22/2022 11:00,9/22/2022 18:00,
35,317,18,A,54,11,13,24.4,9/22/2022 11:00,9/22/2022 14:00,31
1,310,17,A,29,12,13,8,9/22/2022 12:00,9/22/2022 14:00,86
77,350,20,54,85,12,25,22,9/22/2022 12:00,9/23/2022 2:00,4
23,314,18,A,46,14,18,38.4,9/22/2022 14:00,9/22/2022 19:00,
34,317,17,A,53,14,16,14,9/22/2022 14:00,9/22/2022 17:00,31
48,332,17,A,64,17,19,14,9/22/2022 17:00,9/22/2022 20:00,5
70,339,1,A,20,18,18,25,9/22/2022 18:00,9/22/2022 19:00,
5,311,1,A,2,19,26,207.1,9/22/2022 19:00,9/23/2022 3:00,5
58,334,18,A,72,19,19,7,9/22/2022 19:00,9/22/2022 20:00,7
9,311,18,A,36,20,26,54.1,9/22/2022 20:00,9/23/2022 3:00,5
68,338,17,A,78,20,20,5,9/22/2022 20:00,9/22/2022 21:00,6
16,313,17,A,40,21,21,4,9/22/2022 21:00,9/22/2022 22:00,
6,311,14,A,33,22,34,31.2,9/22/2022 22:00,9/23/2022 11:00,5
8,311,17,A,35,22,24,14,9/22/2022 22:00,9/23/2022 1:00,5
50,332,19,A,66,22,28,35.7,9/22/2022 22:00,9/23/2022 5:00,5
40,330,15,A,58,23,23,4.2,9/22/2022 23:00,9/23/2022 0:00,5
7,311,15,A,34,24,48,112.8,9/23/2022 0:00,9/24/2022 1:00,5
44,331,17,A,61,25,25,4,9/23/2022 1:00,9/23/2022 2:00,4
53,333,17,A,68,26,26,4,9/23/2022 2:00,9/23/2022 3:00,6
103,371,20,62,106,26,30,8.75,9/23/2022 2:00,9/23/2022 7:00,10
17,313,18,A,41,27,34,59.4,9/23/2022 3:00,9/23/2022 11:00,
56,334,1,A,15,27,29,75,9/23/2022 3:00,9/23/2022 6:00,7
71,339,17,A,80,27,32,30,9/23/2022 3:00,9/23/2022 9:00,
69,338,19,A,79,29,31,15.3,9/23/2022 5:00,9/23/2022 8:00,6
15,313,1,A,5,30,35,150,9/23/2022 6:00,9/23/2022 12:00,
92,360,20,62,97,31,36,7,9/23/2022 7:00,9/23/2022 13:00,7
59,334,19,A,73,32,35,20.4,9/23/2022 8:00,9/23/2022 12:00,7
20,314,14,A,43,35,63,69.6,9/23/2022 11:00,9/24/2022 16:00,
49,332,18,A,65,35,35,7,9/23/2022 11:00,9/23/2022 12:00,5
3,310,19,A,31,36,41,29.5,9/23/2022 12:00,9/23/2022 18:00,86
51,333,1,A,14,36,42,178,9/23/2022 12:00,9/23/2022 19:00,6
54,333,18,A,69,36,45,80.2,9/23/2022 12:00,9/23/2022 22:00,6
114,376,20,62,115,37,47,19.25,9/23/2022 13:00,9/24/2022 0:00,
73,350,2,54,21,40,41,12,9/23/2022 16:00,9/23/2022 18:00,4
72,339,19,A,81,42,46,25.5,9/23/2022 18:00,9/23/2022 23:00,
86,354,2,54,23,42,49,78.35,9/23/2022 18:00,9/24/2022 2:00,14
42,331,1,A,12,43,48,153.6,9/23/2022 19:00,9/24/2022 1:00,4
45,331,18,A,62,46,48,24.4,9/23/2022 22:00,9/24/2022 1:00,4
46,331,19,A,63,47,49,15.3,9/23/2022 23:00,9/24/2022 2:00,4
60,336,1,A,16,49,53,125,9/24/2022 1:00,9/24/2022 6:00,4
61,336,15,A,74,49,57,45,9/24/2022 1:00,9/24/2022 10:00,4
18,313,19,A,42,50,63,71.4,9/24/2022 2:00,9/24/2022 16:00,
38,330,1,A,11,54,57,101.2,9/24/2022 6:00,9/24/2022 10:00,5
52,333,15,A,67,58,59,9,9/24/2022 10:00,9/24/2022 12:00,6
43,331,15,A,60,60,63,20,9/24/2022 12:00,9/24/2022 16:00,4
21,314,15,A,44,64,64,5,9/24/2022 16:00,9/24/2022 17:00,
39,330,14,A,57,64,82,44.8,9/24/2022 16:00,9/25/2022 11:00,5
41,330,19,A,59,64,72,45.9,9/24/2022 16:00,9/25/2022 1:00,5
67,338,15,A,77,65,66,10,9/24/2022 17:00,9/24/2022 19:00,6
80,351,16,54,87,68,76,18.3,9/24/2022 20:00,9/25/2022 5:00,5
36,317,19,A,55,73,76,20.4,9/25/2022 1:00,9/25/2022 5:00,31
84,353,16,54,91,77,78,4,9/25/2022 5:00,9/25/2022 7:00,7
82,352,16,54,89,79,81,6.45,9/25/2022 7:00,9/25/2022 10:00,6
87,354,16,54,93,82,120,82.35,9/25/2022 10:00,9/27/2022 1:00,14
57,334,14,A,71,83,83,2.4,9/25/2022 11:00,9/25/2022 12:00,7
108,374,2A,62,110,84,85,2,9/25/2022 12:00,9/25/2022 14:00,68
89,360,2,62,24,85,90,44.8,9/25/2022 13:00,9/25/2022 19:00,7
93,360,2A,62,98,86,89,4,9/25/2022 14:00,9/25/2022 18:00,7
104,371,2A,62,107,90,90,1,9/25/2022 18:00,9/25/2022 19:00,10
94,361,2,62,25,91,105,114.2,9/25/2022 19:00,9/26/2022 10:00,10
97,361,2A,62,101,91,91,5,9/25/2022 19:00,9/25/2022 20:00,10
99,363,2A,62,103,92,92,1,9/25/2022 20:00,9/25/2022 21:00,
107,374,13,62,109,93,114,44,9/25/2022 21:00,9/26/2022 19:00,68
13,312,18,D,38,106,110,36.7,9/26/2022 10:00,9/26/2022 15:00,40
100,371,2,62,26,106,107,12,9/26/2022 10:00,9/26/2022 12:00,10
26,316,1,D,7,108,111,101.7,9/26/2022 12:00,9/26/2022 16:00,4
90,360,14,62,95,108,110,6,9/26/2022 12:00,9/26/2022 15:00,7
110,376,2,62,28,108,110,18,9/26/2022 12:00,9/26/2022 15:00,
30,316,18,D,50,111,112,15.7,9/26/2022 15:00,9/26/2022 17:00,4
98,363,14,62,102,111,111,2,9/26/2022 15:00,9/26/2022 16:00,
105,373,2,62,27,111,131,206,9/26/2022 15:00,9/27/2022 12:00,10
10,312,1,D,3,112,115,103,9/26/2022 16:00,9/26/2022 20:00,40
