,Tank,Line,Product,Flag2,Time_min,Time_max,Volume,Start_Date_Time,Finish_Date_Time,Volume_Exists
0,310,01,A,1,7,19,243.255,2023-01-22 09:00:00,2023-01-22 22:00:00,86
1,310,01,A,2,28,33,129.708,2023-01-23 06:00:00,2023-01-23 12:00:00,86
2,310,13,A,21,0,17,159.98499999999663,2023-01-22 02:00:00,2023-01-22 20:00:00,86
3,310,13,A,22,20,28,0.008999999999970143,2023-01-22 22:00:00,2023-01-23 07:00:00,86
4,310,13,A,23,53,54,0.7430000000018051,2023-01-24 07:00:00,2023-01-24 09:00:00,86
5,310,15,A,24,21,26,21.312,2023-01-22 23:00:00,2023-01-23 05:00:00,86
6,310,15,A,25,28,33,21.312,2023-01-23 06:00:00,2023-01-23 12:00:00,86
7,310,15,A,26,96,96,3.816,2023-01-26 02:00:00,2023-01-26 03:00:00,86
8,310,17,A,27,138,140,14.415,2023-01-27 20:00:00,2023-01-27 23:00:00,86
9,310,18,A,28,81,87,40.837999999999994,2023-01-25 11:00:00,2023-01-25 18:00:00,86
10,310,18,A,29,90,90,5.834,2023-01-25 20:00:00,2023-01-25 21:00:00,86
11,310,18,A,30,106,109,25.364,2023-01-26 12:00:00,2023-01-26 16:00:00,86
12,310,19,A,31,0,12,52.19499999999999,2023-01-22 02:00:00,2023-01-22 15:00:00,86
13,310,19,A,32,15,33,74.39699999999999,2023-01-22 17:00:00,2023-01-23 12:00:00,86
14,310,19,A,33,87,87,4.02,2023-01-25 17:00:00,2023-01-25 18:00:00,86
15,310,1A,A,34,20,31,34.723,2023-01-22 22:00:00,2023-01-23 10:00:00,86
16,312,01,D,3,79,79,15.929,2023-01-25 09:00:00,2023-01-25 10:00:00,0
17,312,01,D,4,86,93,129.498,2023-01-25 16:00:00,2023-01-26 00:00:00,0
18,312,13,D,35,84,84,0.000999999999995893,2023-01-25 14:00:00,2023-01-25 15:00:00,0
19,312,13,D,36,111,111,2.6510000000066043,2023-01-26 17:00:00,2023-01-26 18:00:00,0
20,312,13,D,37,130,130,0.0009999999999967812,2023-01-27 12:00:00,2023-01-27 13:00:00,0
21,312,15,D,38,124,132,33.354,2023-01-27 06:00:00,2023-01-27 15:00:00,0
22,312,17,D,39,80,80,5.928000000000036,2023-01-25 10:00:00,2023-01-25 11:00:00,0
23,312,17,D,40,82,82,10.0,2023-01-25 12:00:00,2023-01-25 13:00:00,0
24,312,17,D,41,87,87,0.49799999999424216,2023-01-25 17:00:00,2023-01-25 18:00:00,0
25,312,18,D,42,117,122,28.002,2023-01-26 23:00:00,2023-01-27 05:00:00,0
26,312,19,D,43,104,119,64.992,2023-01-26 10:00:00,2023-01-27 02:00:00,0
27,316,01,D,5,80,85,95.574,2023-01-25 10:00:00,2023-01-25 16:00:00,3
28,316,13,D,44,5,5,3.0,2023-01-22 07:00:00,2023-01-22 08:00:00,3
