,Line,Product,Time_min,Time_max,Order,Time_min_1,Time_max_1,Time_min_f,Time_max_f
0,01,A,0,131,2.0,0.0,135.0,0,132
1,01,D,135,147,1.0,131.0,147.0,133,149
2,02,54,0,56,2.0,0.0,58.0,0,56
3,02,62,58,149,1.0,56.0,149.0,57,149
4,13,54,6,17,2.0,6.0,19.0,6,17
5,13,62,19,146,1.0,17.0,146.0,18,149
7,14,A,1,136,2.0,1.0,139.0,1,137
6,14,62,139,149,1.0,136.0,149.0,138,149
8,15,A,0,90,2.0,0.0,97.0,0,93
9,15,D,97,149,1.0,90.0,149.0,94,149
10,16,54,0,139,1.0,0.0,139.0,0,149
11,17,A,1,141,1.0,1.0,141.0,1,149
14,18,A,0,110,4.0,0.0,112.0,0,110
15,18,D,112,132,3.0,110.0,133.0,111,132
12,18,54,133,134,2.0,132.0,136.0,133,134
13,18,62,136,149,1.0,134.0,149.0,135,149
16,19,A,0,138,2.0,0.0,139.0,0,138
17,19,D,139,149,1.0,138.0,149.0,139,149
18,1A,A,0,89,2.0,0.0,144.0,0,116
19,1A,D,144,149,1.0,89.0,149.0,117,149
20,20,54,0,49,2.0,0.0,55.0,0,51
21,20,62,55,145,1.0,49.0,145.0,52,149
22,2A,62,39,130,1.0,39.0,130.0,39,149
