Code,Start Date/Time,End Date/Time,S/C,Tnk,Line,Volume,Tank,Product Grade,BTank,Volume_Tank,Rate,Operation Code - Comment,file,Start,End,Identifier,OJKLation Code - Comment,OGHIation Code - Comment,Client,Product,Cycle,Type,Time_difference,Time_in_hours,Vol_per_Hr,Exclude,Pick,Rank
JA1-A4-031,2023-01-22 03:29:00,2023-01-22 10:03:00,,,01,107.906,311,A4,317,4.051,14.0,Fill to Normal Fill and Switch,ATJ.2023.01.18.xlsx,2023-01-22 03:29:00,2023-01-22 10:03:00,JA1-A4-031//2023-01-22 03:29:00//2023-01-22 10:03:00//1,,,JA1,A,031,In,0 days 06:34:00,6.566666666666666,16.432385786802033,0,1.0,1
JA1-A4-031,2023-01-22 10:03:00,2023-01-22 16:17:00,,,01,161.94,317,A4,330,18.245,26.0,Fill to Normal Fill and Switch,ATJ.2023.01.18.xlsx,2023-01-22 10:03:00,2023-01-22 16:17:00,JA1-A4-031//2023-01-22 10:03:00//2023-01-22 16:17:00//1,,,JA1,A,031,In,0 days 06:14:00,6.233333333333333,25.979679144385027,0,1.0,2
JA1-A4-031,2023-01-22 16:17:00,2023-01-22 20:44:00,,,01,115.653,330,A4,331,4.825,26.0,Fill to Normal Fill and Switch,ATJ.2023.01.18.xlsx,2023-01-22 16:17:00,2023-01-22 20:44:00,JA1-A4-031//2023-01-22 16:17:00//2023-01-22 20:44:00//1,,,JA1,A,031,In,0 days 04:27:00,4.45,25.989438202247193,0,1.0,1
JA1-A4-031,2023-01-22 20:44:00,2023-01-23 01:28:00,,,01,106.072,331,A4,332,3.741,26.0,Fill to Normal Fill and Switch,ATJ.2023.01.18.xlsx,2023-01-22 20:44:00,2023-01-23 01:28:00,JA1-A4-031//2023-01-22 20:44:00//2023-01-23 01:28:00//1,,,JA1,A,031,In,0 days 04:44:00,4.733333333333333,22.409577464788732,0,1.0,1
JA1-A4-031,2023-01-23 01:28:00,2023-01-23 06:54:00,,,01,104.922,332,A4,333,4.728,20.5,Fill to Normal Fill and Switch,ATJ.2023.01.18.xlsx,2023-01-23 01:28:00,2023-01-23 06:54:00,JA1-A4-031//2023-01-23 01:28:00//2023-01-23 06:54:00//1,,,JA1,A,031,In,0 days 05:26:00,5.433333333333334,19.310797546012267,0,1.0,1
JA1-A4-031,2023-01-23 06:54:00,2023-01-23 13:32:00,,,01,118.844,333,A4,334,5.052,17.892,Fill to Normal Fill and Switch,ATJ.2023.01.18.xlsx,2023-01-23 06:54:00,2023-01-23 13:32:00,JA1-A4-031//2023-01-23 06:54:00//2023-01-23 13:32:00//1,,,JA1,A,031,In,0 days 06:38:00,6.633333333333334,17.916180904522612,0,1.0,1
JA1-A4-031,2023-01-23 13:32:00,2023-01-23 22:04:00,,,01,152.644,334,A4,317,6.267,17.892,Fill to Normal Fill and Switch,ATJ.2023.01.18.xlsx,2023-01-23 13:32:00,2023-01-23 22:04:00,JA1-A4-031//2023-01-23 13:32:00//2023-01-23 22:04:00//1,,,JA1,A,031,In,0 days 08:32:00,8.533333333333333,17.887968750000002,0,1.0,1
JA1-A4-031,2023-01-23 22:04:00,2023-01-24 05:33:00,,,01,133.949,317,A4,331,6.002,17.892,Fill to Normal Fill and Switch,ATJ.2023.01.18.xlsx,2023-01-23 22:04:00,2023-01-24 05:33:00,JA1-A4-031//2023-01-23 22:04:00//2023-01-24 05:33:00//1,,,JA1,A,031,In,0 days 07:29:00,7.483333333333333,17.89964365256125,0,1.0,7
JA1-A4-031,2023-01-24 05:33:00,2023-01-24 09:36:00,,,01,72.365,331,A4,330,37.448,17.892,Fill to Normal Fill and Switch,ATJ.2023.01.18.xlsx,2023-01-24 05:33:00,2023-01-24 09:36:00,JA1-A4-031//2023-01-24 05:33:00//2023-01-24 09:36:00//1,,,JA1,A,031,In,0 days 04:03:00,4.05,17.8679012345679,0,1.0,2
JA1-A4-031,2023-01-24 09:36:00,2023-01-24 12:59:00,,,01,60.607,330,A4,333,69.127,17.892,Fill to Normal Fill and Switch,ATJ.2023.01.18.xlsx,2023-01-24 09:36:00,2023-01-24 12:59:00,JA1-A4-031//2023-01-24 09:36:00//2023-01-24 12:59:00//1,,,JA1,A,031,In,0 days 03:23:00,3.3833333333333333,17.913399014778324,0,1.0,3
