,Tank,Line,Product,Time,Volume
0,310,01,A,55,14.923
1,310,01,A,59,14.923
2,310,01,A,60,14.923
3,310,01,A,61,14.923
4,310,01,A,63,14.923
5,310,01,A,69,14.923
6,310,01,A,109,14.923
7,310,01,A,124,14.923
8,312,01,D,230,20.784
9,313,01,A,66,14.923
10,313,01,A,67,15.072
11,313,01,A,68,14.774
12,313,01,A,70,14.923
13,313,01,A,74,14.923
14,313,01,A,75,14.923
15,313,01,A,79,14.923
16,313,01,A,82,14.923
17,313,01,A,86,14.923
18,313,01,A,95,14.923
19,313,01,A,100,14.923
20,313,01,A,107,14.923
21,313,01,A,111,14.923
22,313,01,A,116,14.923
23,313,01,A,125,14.923
24,313,01,A,129,14.923
25,313,01,A,132,14.923
26,313,01,A,136,14.923
27,313,01,A,137,14.923
28,313,01,A,140,14.923
29,313,01,A,151,14.923
30,313,01,A,155,14.923
31,313,01,A,156,14.923
32,313,01,A,158,14.923
33,313,01,A,162,14.923
34,313,01,A,163,14.923
35,313,01,A,167,14.923
36,313,01,A,170,4.178
37,313,01,A,214,4.079999998501137
38,314,01,A,51,11.938
39,314,01,A,52,14.923
40,314,01,A,76,14.923
41,314,01,A,78,14.923
42,314,01,A,87,14.923
43,314,01,A,90,14.923
44,314,01,A,108,14.923
45,314,01,A,119,14.923
46,314,01,A,120,14.923
47,314,01,A,123,14.923
48,314,01,A,133,14.923
49,314,01,A,134,14.923
50,314,01,A,135,14.923
51,314,01,A,139,14.923
52,314,01,A,143,14.923
53,314,01,A,168,14.923
54,314,01,A,169,14.923
55,317,01,D,222,3.118
56,317,01,D,223,20.784
57,317,01,D,224,20.784
58,317,01,D,225,20.784
59,317,01,D,226,20.784
60,317,01,D,227,20.784
61,317,01,D,228,20.576
62,317,01,D,229,20.784
63,317,01,D,231,12.47
64,330,01,A,57,14.923
65,330,01,A,58,14.923
66,330,01,A,83,14.923
67,330,01,A,91,14.923
68,330,01,A,92,14.923
69,330,01,A,99,14.923
70,330,01,A,105,14.923
71,330,01,A,121,14.923
72,330,01,A,131,14.923
73,330,01,A,138,14.923
74,330,01,A,144,14.923
75,330,01,A,145,14.923
76,330,01,A,147,14.923
77,330,01,A,149,14.923
78,330,01,A,152,14.923
79,330,01,A,154,15.072
80,330,01,A,160,14.923
81,330,01,A,161,14.923
82,330,01,A,164,14.923
83,330,01,A,166,14.923
84,330,01,A,212,4.845
85,330,01,A,213,8.5
86,332,01,A,53,14.923
87,332,01,A,54,14.923
88,332,01,A,56,14.923
89,332,01,A,62,14.923
90,332,01,A,64,15.072
91,332,01,A,65,14.923
92,332,01,A,71,14.923
93,332,01,A,72,14.923
94,332,01,A,73,14.923
95,332,01,A,77,14.923
96,332,01,A,80,14.923
97,332,01,A,81,14.923
98,332,01,A,84,14.923
99,332,01,A,85,14.923
100,332,01,A,88,14.923
101,332,01,A,89,14.923
102,332,01,A,93,14.923
103,332,01,A,94,14.923
104,332,01,A,96,14.923
105,332,01,A,97,14.923
106,332,01,A,98,14.923
107,332,01,A,101,14.923
108,332,01,A,102,14.923
109,332,01,A,103,14.923
110,332,01,A,104,14.923
111,332,01,A,106,14.923
112,332,01,A,110,14.923
113,332,01,A,112,14.923
114,332,01,A,113,14.923
115,332,01,A,114,14.923
116,332,01,A,115,14.923
117,332,01,A,117,14.923
118,332,01,A,118,14.923
119,332,01,A,122,14.923
120,332,01,A,126,14.923
121,332,01,A,127,14.923
122,332,01,A,128,14.923
123,332,01,A,130,14.923
124,332,01,A,141,14.923
125,332,01,A,142,14.923
126,332,01,A,146,14.923
127,332,01,A,148,14.923
128,332,01,A,150,14.923
129,332,01,A,153,14.923
130,332,01,A,157,14.923
131,332,01,A,159,14.923
132,332,01,A,165,14.923
133,352,02,54,57,8.303
134,352,02,54,59,8.303
135,352,02,54,75,8.303
136,352,02,54,77,8.303
137,352,02,54,79,8.303
138,352,02,54,80,8.303
139,352,02,54,81,8.303
140,352,02,54,82,8.303
141,352,02,54,85,8.303
142,352,02,54,86,8.303
143,352,02,54,87,8.303
144,352,02,54,88,8.303
145,352,02,54,90,8.303
146,352,02,54,91,8.303
147,352,02,54,94,8.303
148,353,02,54,54,8.303
149,353,02,54,56,8.303
150,353,02,54,60,8.303
151,353,02,54,61,8.303
152,353,02,54,64,8.303
153,353,02,54,65,8.303
154,353,02,54,66,8.303
155,353,02,54,67,8.303
156,353,02,54,73,8.303
157,353,02,54,89,8.303
158,353,02,54,92,8.303
159,353,02,54,93,8.303
160,354,02,54,58,8.303
161,354,02,54,62,8.303
162,354,02,54,63,8.303
163,354,02,54,68,8.303
164,354,02,54,76,8.303
165,354,02,54,78,8.303
166,354,02,54,83,8.303
167,354,02,54,84,8.303
168,361,02,62,102,12.167
169,361,02,62,105,12.167
170,361,02,62,109,12.167
171,361,02,62,120,12.167
172,361,02,62,121,12.167
173,361,02,62,127,12.167
174,361,02,62,135,12.167
175,361,02,62,136,12.167
176,361,02,62,137,12.167
177,361,02,62,139,12.167
178,361,02,62,140,12.167
179,361,02,62,141,12.045
180,361,02,62,142,12.167
181,361,02,62,144,12.167
182,361,02,62,146,12.167
183,361,02,62,148,12.167
184,361,02,62,149,12.167
185,361,02,62,150,12.167
186,361,02,62,153,12.167
187,361,02,62,154,12.167
188,361,02,62,155,12.167
189,361,02,62,156,12.167
190,361,02,62,158,12.167
191,361,02,62,159,12.167
192,361,02,62,161,12.167
193,361,02,62,162,12.167
194,361,02,62,164,12.167
195,361,02,62,165,12.167
196,361,02,62,167,12.167
197,361,02,62,168,12.167
198,361,02,62,169,12.167
199,361,02,62,171,12.167
200,361,02,62,172,12.167
201,361,02,62,173,12.167
202,361,02,62,174,12.167
203,361,02,62,175,12.167
204,361,02,62,180,12.167
205,361,02,62,181,12.288
206,361,02,62,182,12.167
207,361,02,62,183,12.167
208,370,02,54,53,4.733
209,370,02,54,55,8.303
210,370,02,54,69,8.303
211,370,02,54,70,8.303
212,370,02,54,71,8.303
213,370,02,54,72,8.303
214,370,02,54,74,8.303000000000324
215,370,02,54,95,1.827
216,374,02,62,98,6.935
217,374,02,62,99,12.167
218,374,02,62,100,12.167
219,374,02,62,103,12.167
220,374,02,62,104,12.167
221,374,02,62,106,12.167
222,374,02,62,107,12.167
223,374,02,62,108,12.167
224,374,02,62,110,12.167
225,374,02,62,111,12.167
226,374,02,62,113,12.288
227,374,02,62,114,12.167
228,374,02,62,115,12.167
229,374,02,62,116,12.167
230,374,02,62,125,12.167
231,374,02,62,126,12.167
232,374,02,62,128,12.044
233,374,02,62,130,12.167
234,374,02,62,131,12.167
235,374,02,62,132,12.167
236,374,02,62,133,12.167
237,374,02,62,147,12.167
238,374,02,62,166,12.167
239,374,02,62,176,12.167
240,374,02,62,179,12.167
241,374,02,62,185,12.167
242,376,02,62,101,12.167
243,376,02,62,112,12.167
244,376,02,62,117,12.167
245,376,02,62,118,12.167
246,376,02,62,119,12.167
247,376,02,62,122,12.167
248,376,02,62,123,12.167
249,376,02,62,124,12.167
250,376,02,62,129,12.167
251,376,02,62,134,12.167
252,376,02,62,138,12.167
253,376,02,62,143,12.167
254,376,02,62,145,12.167
255,376,02,62,151,12.167
256,376,02,62,152,12.167
257,376,02,62,157,12.167
258,376,02,62,160,12.167
259,376,02,62,163,12.167
260,376,02,62,170,12.167
261,376,02,62,177,12.167
262,376,02,62,178,12.167
263,376,02,62,184,12.167
264,376,02,62,186,4.502
